O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as pretas
Jogadas brancas:
b2b3, 139
d2d4, 139
b1c3, 139
a2a4, 139
g2g3, 139
d1d3, 139
c1f4, 139
f4e3, 139
f1g2, 139
e3f4, 139
e1d1, 139
g1f3, 139
e2e4, 139
e4e5, 139
h1f1, 139
h2h4, 139
h4h5, 139
d3c3, 136
b3b4, 136
a4a5, 136
f3g5, 136
d1e1, 136
f1h1, 136
g2h3, 136
g3g4, 136
f4g5, 133
g5f4, 133
f4d2, 133
g4f5, 130
h3g4, 129
f2f3, 129
e1f1, 129
Jogadas pretas:
d7d5, 139
c8e6, 139
c7c6, 139
d8c7, 139
b8d7, 139
a8b8, 139
c7b6, 139
b6c7, 139
e8d8, 139
c7b6, 139
a7a6, 139
b8c8, 139
g8f6, 139
f6e4, 139
c8b8, 139
h8g8, 139
e4c3, 136
d8c8, 136
g8h8, 136
b6c7, 136
e6g4, 136
e7e6, 136
g4f5, 136
f8e7, 136
e7g5, 133
f7f6, 133
g7g5, 133
d7e5, 132
g5g4, 132
e5g4, 129
c7g3, 129
g3f2, 29
debug_info_ia:
nós: 4449, tempo: 0.49805569648742676
nós: 9927, tempo: 1.0610253810882568
nós: 4289, tempo: 0.4593372344970703
nós: 2619, tempo: 0.2784230709075928
nós: 7642, tempo: 0.7990086078643799
nós: 36062, tempo: 4.550791501998901
nós: 2646, tempo: 0.2757730484008789
nós: 29356, tempo: 3.6876308917999268
nós: 24672, tempo: 3.0838563442230225
nós: 2670, tempo: 0.29909706115722656
nós: 8790, tempo: 1.0356779098510742
nós: 4123, tempo: 0.41143798828125
nós: 13380, tempo: 1.542492151260376
nós: 6267, tempo: 0.7891218662261963
nós: 23623, tempo: 3.0349295139312744
nós: 31066, tempo: 3.8806753158569336
nós: 25731, tempo: 3.416717529296875
nós: 5674, tempo: 0.6075217723846436
nós: 4878, tempo: 0.4971160888671875
nós: 2426, tempo: 0.24736595153808594
nós: 6294, tempo: 0.7144219875335693
nós: 8720, tempo: 0.9779691696166992
nós: 16458, tempo: 1.9568850994110107
nós: 19300, tempo: 2.353961706161499
nós: 10655, tempo: 1.2482972145080566
nós: 4627, tempo: 0.5166561603546143
nós: 2877, tempo: 0.3075418472290039
nós: 5686, tempo: 0.5979406833648682
nós: 1935, tempo: 0.1591324806213379
nós: 1027, tempo: 0.07789397239685059
nós: 1424, tempo: 0.10945963859558105
nós: 1472, tempo: 0.11479854583740234
