O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as brancas
Jogadas brancas:
e2e4, 139
g1f3, 139
b1c3, 139
d2d4, 139
f1d3, 139
e1g1, 139
e4e5, 139
e5f6, 136
d3h7, 135
h7g8, 130
c3b5, 130
a2a4, 130
c2c3, 130
b5c7, 129
c1f4, 129
d1e2, 129
e2d1, 126
d4e5, 125
e5f6, 124
a1a7, 123
f1e1, 123
a7a8, 123
a8e8, 18
Jogadas pretas:
b8c6, 139
e7e6, 139
c6e7, 139
g8f6, 139
d7d6, 139
h8g8, 139
a8b8, 139
g7f6, 138
f8g7, 138
e7g8, 135
c8d7, 135
d8e7, 135
b8d8, 135
e8f8, 135
d7a4, 134
a4d1, 134
e6e5, 134
e7c7, 131
g7h8, 131
d8d7, 131
d7e7, 131
e7e8, 131
debug_info_ia:
nós: 39537, tempo: 5.034289360046387
nós: 37135, tempo: 4.81679105758667
nós: 60772, tempo: 7.404563903808594
nós: 74213, tempo: 9.93195128440857
nós: 104340, tempo: 14.130059480667114
nós: 104366, tempo: 13.801395177841187
nós: 116817, tempo: 14.117446660995483
nós: 35392, tempo: 4.437950611114502
nós: 63745, tempo: 7.613555669784546
nós: 38851, tempo: 4.636995315551758
nós: 86487, tempo: 9.750982284545898
nós: 88197, tempo: 9.887004852294922
nós: 88722, tempo: 10.27344274520874
nós: 5195, tempo: 0.6313667297363281
nós: 157333, tempo: 17.522913694381714
nós: 321640, tempo: 35.13693284988403
nós: 169418, tempo: 17.88968276977539
nós: 204180, tempo: 21.25270915031433
nós: 17706, tempo: 1.8690760135650635
nós: 100126, tempo: 10.514407396316528
nós: 123545, tempo: 12.80560302734375
nós: 30599, tempo: 3.0715577602386475
