corIa,vencedor,adversario,qtdLances,lancesIdeais,mediaNos,mediaTempo,medianaTempo,stdTempo
pretas,empate,1000,52,33,83440,19.13882207411986,11.250039339065552,16.77668048909821
brancas,ia,1000,50,33,31349,7.007251200675964,3.808392643928528,7.8883610235495505
pretas,ia,1300,91,56,64211,15.162726934139545,4.261765003204346,27.05383849266429
brancas,ia,1300,35,27,36541,8.099568946020943,6.2300193309783936,6.165160075266717
pretas,ia,400,31,23,53450,56.96212913144019,9.171826839447021,253.17763092833465
brancas,ia,400,28,20,40457,10.295320987701416,5.00905442237854,14.590287921856564
pretas,ia,700,39,36,37832,8.716900886633457,4.655683517456055,10.757041145684324
brancas,ia,700,52,37,111058,27.483206221690544,27.474176049232483,19.947239255460893
pretas,empate,1000,146,117,15762,4.682660548654321,1.0406943559646606,15.801409880488096
brancas,ia,1000,39,30,66794,16.724433226463123,9.246062994003296,17.305360723471335
pretas,empate,1300,37,29,33622,7.200487491246816,4.301122426986694,10.163730672290315
brancas,empate,1300,80,52,19943,4.433772140741349,1.248370885848999,8.07457385733502
pretas,ia,400,39,28,57620,13.320452873523418,10.553780555725098,12.964498352700412
brancas,ia,400,19,14,35855,8.416498184204102,5.701564073562622,9.467895916056397
pretas,ia,700,46,33,95883,23.504641963087995,18.680655360221863,20.802030154844726
brancas,jogador,700,18,12,37846,7.752883116404216,6.844109296798706,7.843069548535762
pretas,ia,1000,34,25,66828,22.139108791070825,11.023168087005615,21.592595442195847
brancas,ia,1000,85,62,27614,7.8456972570980295,3.2302985191345215,12.741052620335736
pretas,ia,1300,77,54,37737,10.663144216909037,3.4675004482269287,23.289129236473716
brancas,ia,1300,24,20,54386,17.71008539199829,13.280840992927551,11.997561267658511
pretas,ia,400,33,27,103990,42.84017784667738,10.867545127868652,90.30930833562184
brancas,ia,400,46,34,48221,11.02150234968766,7.685230731964111,11.26917332061887
pretas,empate,700,68,54,38353,8.546707577565137,1.1944947242736816,13.733440616034988
brancas,ia,700,38,29,72974,20.14238772894207,10.094226121902466,27.41083222640541
