O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as brancas
Jogadas brancas:
e2e4, 139
g1f3, 139
b1c3, 139
d2d4, 139
d4d5, 139
d5e6, 136
c3d5, 136
f1b5, 136
c1f4, 133
e1g1, 133
b5a4, 133
d1d2, 133
d2c3, 133
f3d4, 133
g2g3, 133
d4c6, 130
a4c6, 129
c6a8, 124
e6e7, 124
d5c7, 123
c7a8, 114
c3c7, 114
c7d6, 113
a1d1, 113
e4e5, 113
f1e1, 113
e1e5, 112
d6e5, 109
d1d6, 109
e5f6, 109
f6h6, 108
h6e6, 108
d6d7, 108
e6f6, 108
f6d8, 108
d8h4, 8
Jogadas pretas:
e7e5, 139
d7d6, 139
c8e6, 139
g8e7, 139
b8c6, 139
f7f6, 139
e7g6, 139
g6f4, 139
e5f4, 136
a7a6, 136
g7g5, 136
f8g7, 136
g5g4, 136
f4f3, 136
h8g8, 136
b7c6, 133
e8f8, 133
d8a8, 130
f8e8, 130
e8e7, 129
g8a8, 126
e7f8, 126
f8g8, 126
g8h8, 126
f6e5, 125
h7h6, 125
g7e5, 120
h8g8, 120
g8h7, 120
a6a5, 120
h7g8, 120
g8h8, 120
a8g8, 120
g8g7, 120
g7g8, 120
debug_info_ia:
nós: 1864, tempo: 0.3270878791809082
nós: 3049, tempo: 0.5316174030303955
nós: 3503, tempo: 0.5959873199462891
nós: 5643, tempo: 1.0724780559539795
nós: 3561, tempo: 0.7327349185943604
nós: 5256, tempo: 0.73307204246521
nós: 1855, tempo: 0.2804749011993408
nós: 3918, tempo: 0.5302731990814209
nós: 1078, tempo: 0.14832234382629395
nós: 3504, tempo: 0.4797375202178955
nós: 3741, tempo: 0.4622471332550049
nós: 5707, tempo: 0.7438318729400635
nós: 7268, tempo: 0.905900239944458
nós: 7640, tempo: 0.945636510848999
nós: 5837, tempo: 0.7941107749938965
nós: 469, tempo: 0.08030271530151367
nós: 680, tempo: 0.0850839614868164
nós: 3699, tempo: 0.5314819812774658
nós: 263, tempo: 0.041539669036865234
nós: 497, tempo: 0.11513328552246094
nós: 2922, tempo: 0.38603806495666504
nós: 439, tempo: 0.09225058555603027
nós: 437, tempo: 0.056558847427368164
nós: 1739, tempo: 0.28958582878112793
nós: 2087, tempo: 0.23200345039367676
nós: 3086, tempo: 0.3245551586151123
nós: 1100, tempo: 0.14853501319885254
nós: 249, tempo: 0.03514409065246582
nós: 1948, tempo: 0.278003454208374
nós: 1790, tempo: 0.2346787452697754
nós: 110, tempo: 0.015320062637329102
nós: 545, tempo: 0.07257580757141113
nós: 1025, tempo: 0.10991191864013672
nós: 195, tempo: 0.03230595588684082
nós: 257, tempo: 0.031594276428222656
