O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as brancas
Jogadas brancas:
e2e4, 139
g1f3, 139
b1c3, 139
b2b3, 139
f1c4, 139
e1g1, 139
c4e6, 136
c1a3, 136
c3b5, 136
c2c4, 136
b3b4, 136
c4c5, 136
c5d6, 135
d6c7, 134
d1c2, 134
a1c1, 134
a3b2, 134
b2c3, 134
c2b2, 134
f3e5, 133
f1e1, 133
e1e3, 132
b4b5, 132
b2b3, 132
b3e6, 129
e3d3, 129
e5d7, 129
e6g8, 124
g8f8, 21
Jogadas pretas:
e7e5, 139
d7d6, 139
c8e6, 139
g8e7, 139
b8d7, 139
d7c5, 139
c5e6, 136
h8g8, 136
d8d7, 136
a7a5, 136
e6d8, 136
d7b5, 133
e7c8, 133
d8e6, 133
b5b6, 133
f7f6, 133
g7g6, 133
b6c7, 132
f6f5, 132
f5e4, 131
e4e3, 131
c8d6, 131
f8e7, 131
d6b5, 130
e8f8, 130
g6g5, 130
f8e8, 130
e7f8, 130
debug_info_ia:
nós: 1864, tempo: 0.36559319496154785
nós: 3049, tempo: 0.5941247940063477
nós: 3503, tempo: 0.6094341278076172
nós: 4755, tempo: 1.0659968852996826
nós: 5671, tempo: 1.1126089096069336
nós: 7275, tempo: 1.2378718852996826
nós: 1585, tempo: 0.23018908500671387
nós: 9062, tempo: 1.7729036808013916
nós: 16919, tempo: 2.698246717453003
nós: 23421, tempo: 4.276220083236694
nós: 17889, tempo: 3.168663263320923
nós: 17526, tempo: 3.986734628677368
nós: 23827, tempo: 4.3669843673706055
nós: 5233, tempo: 0.6933565139770508
nós: 39752, tempo: 7.094688653945923
nós: 29992, tempo: 5.411359786987305
nós: 35193, tempo: 6.42291784286499
nós: 38619, tempo: 7.556483507156372
nós: 158138, tempo: 34.86268591880798
nós: 63461, tempo: 10.16179347038269
nós: 98888, tempo: 14.63863492012024
nós: 45312, tempo: 6.2618186473846436
nós: 29398, tempo: 3.9799468517303467
nós: 56938, tempo: 7.948777198791504
nós: 10207, tempo: 1.1849923133850098
nós: 10202, tempo: 1.1900670528411865
nós: 464, tempo: 0.05730247497558594
nós: 360, tempo: 0.0399622917175293
