O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as pretas
Jogadas brancas:
e2e4, 139
d2d3, 139
b1c3, 139
g1h3, 139
e4d5, 138
b2c3, 135
f2f3, 135
h3f2, 135
e1d2, 135
f2e4, 135
c1b2, 135
d1c1, 135
a2a3, 135
f1e2, 135
h1e1, 135
h2h3, 135
g2g4, 135
c1b1, 135
e2f1, 135
e1e2, 135
e2e1, 135
b1d1, 135
d2c1, 135
f1g2, 135
c1b1, 135
b1a2, 143
g2d5, 143
d1d5, 134
c3c4, 134
a1c1, 134
c1c2, 134
c4d5, 129
a2a1, 129
g4g5, 129
g5g6, 129
b2c1, 129
c1b2, 129
b2c1, 129
c1b2, 129
b2c1, 129
h3h4, 129
Jogadas pretas:
e7e5, 139
f8b4, 139
g8f6, 139
d7d5, 139
b4c3, 136
d8d5, 135
b8c6, 135
c8f5, 135
d5a5, 135
f5e4, 132
e4g6, 132
a8d8, 132
a7a6, 132
f6d5, 132
e8g8, 132
b7b5, 132
d5f4, 132
a5b6, 132
b6f2, 132
f2f3, 131
e5e4, 131
f3f2, 131
e4d3, 130
d3d2, 130
d2e1q, 125
e1e6, 125
e6d5, 122
d8d5, 113
f2c2, 112
c2d2, 112
g6c2, 107
d2d5, 106
f8d8, 106
c6a5, 106
h7g6, 105
d5d4, 105
d4e3, 105
e3c3, 105
c3f3, 105
d8d1, 105
f3a3, 4
debug_info_ia:
nós: 831, tempo: 0.1326742172241211
nós: 1867, tempo: 0.3401188850402832
nós: 787, tempo: 0.17356419563293457
nós: 3672, tempo: 0.7998902797698975
nós: 23190, tempo: 5.189133405685425
nós: 471, tempo: 0.0857703685760498
nós: 5723, tempo: 1.1888225078582764
nós: 5876, tempo: 1.1878256797790527
nós: 9578, tempo: 1.901947259902954
nós: 7688, tempo: 1.3514165878295898
nós: 4868, tempo: 0.8228006362915039
nós: 2960, tempo: 0.519611120223999
nós: 4050, tempo: 0.7290511131286621
nós: 5278, tempo: 0.9804081916809082
nós: 8452, tempo: 1.498995065689087
nós: 8658, tempo: 1.4790472984313965
nós: 3966, tempo: 0.6382937431335449
nós: 7532, tempo: 1.1688754558563232
nós: 9759, tempo: 1.7174103260040283
nós: 1598, tempo: 0.2533228397369385
nós: 3620, tempo: 0.5525228977203369
nós: 10017, tempo: 1.5797781944274902
nós: 1625, tempo: 0.2533226013183594
nós: 2893, tempo: 0.4328756332397461
nós: 553, tempo: 0.07878899574279785
nós: 2570, tempo: 0.37699198722839355
nós: 653, tempo: 0.09677004814147949
nós: 424, tempo: 0.06784629821777344
nós: 3293, tempo: 0.4996640682220459
nós: 993, tempo: 0.15162372589111328
nós: 2703, tempo: 0.41887998580932617
nós: 1026, tempo: 0.1515944004058838
nós: 216, tempo: 0.03690195083618164
nós: 744, tempo: 0.1266613006591797
nós: 1059, tempo: 0.1655571460723877
nós: 434, tempo: 0.07679510116577148
nós: 236, tempo: 0.034906864166259766
nós: 259, tempo: 0.04288530349731445
nós: 226, tempo: 0.03789854049682617
nós: 231, tempo: 0.04388236999511719
nós: 492, tempo: 0.07579755783081055
