O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as brancas
Jogadas brancas:
d2d4, 139
a2a3, 139
g1f3, 139
c2c4, 139
e2e4, 139
b1c3, 139
f1e2, 139
e4e5, 139
c1g5, 139
d1d2, 139
e5f6, 138
f3e5, 138
d2c3, 135
e2h5, 135
e1c1, 135
h5g6, 132
c3f3, 132
c1b1, 132
g2g3, 132
d1h1, 127
h1h7, 127
f3f7, 27
Jogadas pretas:
b8c6, 139
d7d5, 139
e7e6, 139
d5c4, 138
b7b5, 138
a7a6, 138
g8f6, 138
f6d5, 138
d5c3, 135
f7f6, 135
g7f6, 134
c6e5, 131
f6g5, 128
e5g6, 128
f8d6, 128
h7g6, 125
c8d7, 125
h8h2, 124
h2h1, 119
e8e7, 119
e7e8, 119
debug_info_ia:
nós: 5478, tempo: 0.9658820629119873
nós: 5763, tempo: 1.4274487495422363
nós: 10078, tempo: 5.228026628494263
nós: 17764, tempo: 15.675013542175293
nós: 13239, tempo: 22.446773529052734
nós: 17453, tempo: 52.986576080322266
nós: 13267, tempo: 35.29192566871643
nós: 7214, tempo: 51.32358193397522
nós: 6944, tempo: 69.77588534355164
nós: 6031, tempo: 59.47101020812988
nós: 10424, tempo: 84.49344229698181
nós: 9333, tempo: 47.940125703811646
nós: 8970, tempo: 11.032113552093506
nós: 1116, tempo: 0.8707003593444824
nós: 7831, tempo: 9.040360689163208
nós: 1348, tempo: 0.41384458541870117
nós: 10813, tempo: 10.684427499771118
nós: 12607, tempo: 12.458818674087524
nós: 9823, tempo: 12.545380592346191
nós: 5690, tempo: 3.6620357036590576
nós: 199, tempo: 0.1620471477508545
