O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as pretas
Jogadas brancas:
d2d4, 139
d4d5, 139
f2f4, 139
b1c3, 139
h2h3, 139
g1f3, 139
e2e4, 139
e4d5, 138
c1e3, 138
f1b5, 138
d5c6, 137
e3d4, 137
d1d4, 134
e1c1, 134
b5a4, 134
f3e5, 134
d1e1, 134
g2g4, 134
d4d3, 134
d3f5, 134
c3b5, 134
g4g5, 134
g5f6, 131
e5f3, 131
e1e7, 122
a2a3, 122
b2b4, 122
c1b2, 122
f5d3, 122
a4b5, 121
d3b5, 118
b2b1, 118
b1c2, 117
c2b3, 117
b3a4, 117
b5d5, 117
d5b7, 117
b7d5, 117
a4b5, 117
d5h5, 117
h3h4, 117
h5f5, 117
f5g4, 117
g4h5, 117
h5f5, 117
f5h5, 117
b5b6, 117
b6c6, 117
c6b7, 117
h5f5, 117
f5g4, 117
f4f5, 117
g4a4, 117
a4d1, 116
h4h5, 116
b7b6, 116
b6a7, 116
a7b6, 116
b6a7, 116
a7b7, 116
b7c6, 116
c6b5, 116
b5a4, 116
a4a5, 116
a5a4, 116
a4a5, 116
a5a4, 116
a4a3, 116
a3a2, 116
a2a3, 116
a3a2, 116
a2a1, 116
a1a2, 116
a2a3, 116
a3a2, 116
a2a3, 116
a3a2, 116
a2a3, 116
a3a2, 116
a2a3, 116
a3a4, 116
a4a5, 116
a5a4, 116
a4a3, 116
a3a2, 116
a2a3, 116
a3a2, 116
a2a1, 116
a1a2, 116
a2a3, 116
a3a2, 116
a2a3, 116
a3a2, 116
a2a3, 116
a3a2, 116
a2a3, 116
a3a4, 116
a4a5, 116
a5a4, 116
a4a3, 116
a3a2, 116
a2a3, 116
a3a2, 116
a2a1, 116
a1a2, 116
a2a3, 116
a3a2, 116
a2a3, 116
a3a2, 116
a2a3, 116
a3a2, 116
a2a3, 116
a3a2, 116
a2a1, 116
a1a2, 116
a2a3, 116
a3a2, 116
Jogadas pretas:
b8c6, 139
c6e5, 139
e5g4, 139
d7d6, 139
g4f6, 139
e7e6, 139
e6d5, 138
g8e7, 138
e7f5, 138
c7c6, 138
e8e7, 138
f5d4, 135
d8c7, 135
b7c6, 134
d6d5, 134
c8b7, 134
e7d8, 134
c6c5, 134
c5c4, 134
d5d4, 134
c7e7, 134
b7h1, 129
g7f6, 128
h1f3, 125
f8e7, 120
f3c6, 120
c4b3, 119
a7a6, 119
a6b5, 116
c6b5, 113
e7a3, 112
b3c2, 111
a8c8, 111
c8c3, 111
d8e7, 111
a3c5, 111
e7f8, 111
c3a3, 111
c5e7, 111
d4d3, 111
h7h6, 111
f8g7, 111
g7h7, 111
h8f8, 111
h7h8, 111
h8h7, 111
a3b3, 111
b3c3, 111
d3d2, 111
h7g7, 111
g7h7, 111
c3c1, 111
d2d1q, 111
c1d1, 102
d1c1, 102
c1c5, 102
c5f5, 101
f5h5, 100
e7c5, 100
h5e5, 100
f6f5, 100
f5f4, 100
f8b8, 100
e5e1, 100
f7f6, 100
c5g1, 100
h6h5, 100
e1e4, 100
e4e1, 100
e1e4, 100
e4e3, 100
e3e5, 100
g1h2, 100
e5e4, 100
e4e1, 100
e1e4, 100
e4e1, 100
e1e6, 100
h2g1, 100
g1h2, 100
e6e3, 100
e3e1, 100
e1b1, 100
b1b4, 100
b4b1, 100
b1b4, 100
b4b3, 100
b3b5, 100
h2g1, 100
b5b4, 100
b4b1, 100
b1b4, 100
b4b1, 100
b1b6, 100
g1h2, 100
h2g1, 100
b6b3, 100
b3b1, 100
b1c1, 100
c1c4, 100
c4c1, 100
c1c4, 100
c4c3, 100
c3c5, 100
g1h2, 100
c5c4, 100
c4c1, 100
c1c4, 100
c4c1, 100
c1c6, 100
h2g1, 100
g1h2, 100
h2g1, 100
g1a7, 100
c6c1, 100
c1c4, 100
c4a4, 0
debug_info_ia:
nós: 5478, tempo: 0.9657149314880371
nós: 2437, tempo: 1.2227098941802979
nós: 2268, tempo: 0.797680139541626
nós: 5504, tempo: 2.3088057041168213
nós: 3580, tempo: 3.027711868286133
nós: 6980, tempo: 8.06672716140747
nós: 7583, tempo: 7.621921539306641
nós: 7841, tempo: 4.316710472106934
nós: 12590, tempo: 12.147968292236328
nós: 1514, tempo: 1.5890989303588867
nós: 19364, tempo: 34.04121136665344
nós: 15000, tempo: 51.245256423950195
nós: 13068, tempo: 27.54368281364441
nós: 19827, tempo: 45.52814483642578
nós: 12196, tempo: 20.343305826187134
nós: 13172, tempo: 49.66670775413513
nós: 6243, tempo: 8.351465702056885
nós: 12427, tempo: 30.316630125045776
nós: 10906, tempo: 15.664082765579224
nós: 9882, tempo: 18.4653582572937
nós: 6897, tempo: 8.669085264205933
nós: 6553, tempo: 14.184128046035767
nós: 5397, tempo: 13.783042430877686
nós: 4260, tempo: 7.164904832839966
nós: 4122, tempo: 3.223480224609375
nós: 5079, tempo: 4.742936849594116
nós: 5818, tempo: 6.396337032318115
nós: 4834, tempo: 7.294681787490845
nós: 6232, tempo: 9.208228826522827
nós: 9610, tempo: 11.660342454910278
nós: 3361, tempo: 1.8011269569396973
nós: 3299, tempo: 1.0450656414031982
nós: 3553, tempo: 0.8115293979644775
nós: 3509, tempo: 1.0014071464538574
nós: 4077, tempo: 1.198512077331543
nós: 6970, tempo: 1.4455645084381104
nós: 740, tempo: 0.13160061836242676
nós: 3952, tempo: 1.1240484714508057
nós: 6424, tempo: 2.472156286239624
nós: 3380, tempo: 0.9885883331298828
nós: 1949, tempo: 0.48321533203125
nós: 2199, tempo: 0.5768435001373291
nós: 213, tempo: 0.039830684661865234
nós: 2482, tempo: 0.5350744724273682
nós: 412, tempo: 0.0737752914428711
nós: 3513, tempo: 0.8852126598358154
nós: 2999, tempo: 0.6794004440307617
nós: 3033, tempo: 0.8687295913696289
nós: 2915, tempo: 0.6182692050933838
nós: 647, tempo: 0.14240694046020508
nós: 500, tempo: 0.12352752685546875
nós: 6749, tempo: 1.2542085647583008
nós: 6458, tempo: 1.0241942405700684
nós: 5118, tempo: 0.7827239036560059
nós: 2812, tempo: 0.2127220630645752
nós: 2962, tempo: 0.22636961936950684
nós: 1792, tempo: 0.13706111907958984
nós: 3309, tempo: 0.24507355690002441
nós: 2406, tempo: 0.1694185733795166
nós: 2907, tempo: 0.2193281650543213
nós: 3903, tempo: 0.32273364067077637
nós: 3646, tempo: 0.29102325439453125
nós: 2632, tempo: 0.19756746292114258
nós: 2681, tempo: 0.1820051670074463
nós: 2412, tempo: 0.18186426162719727
nós: 3163, tempo: 0.23470735549926758
nós: 2712, tempo: 0.18745708465576172
nós: 3020, tempo: 0.20902633666992188
nós: 3187, tempo: 0.2222135066986084
nós: 3020, tempo: 0.2117173671722412
nós: 3144, tempo: 0.22117328643798828
nós: 1425, tempo: 0.10818886756896973
nós: 3386, tempo: 0.2331230640411377
nós: 1930, tempo: 0.14969420433044434
nós: 2558, tempo: 0.18037056922912598
nós: 2557, tempo: 0.18099164962768555
nós: 2558, tempo: 0.18236660957336426
nós: 2520, tempo: 0.17949748039245605
nós: 2454, tempo: 0.1761641502380371
nós: 2774, tempo: 0.20679616928100586
nós: 1671, tempo: 0.1302804946899414
nós: 2464, tempo: 0.17511630058288574
nós: 2404, tempo: 0.17468595504760742
nós: 1808, tempo: 0.14478063583374023
nós: 1298, tempo: 0.1123814582824707
nós: 1808, tempo: 0.14638209342956543
nós: 1281, tempo: 0.11272954940795898
nós: 1029, tempo: 0.09562397003173828
nós: 1251, tempo: 0.09573507308959961
nós: 1363, tempo: 0.11683464050292969
nós: 1829, tempo: 0.14476895332336426
nós: 2103, tempo: 0.17960333824157715
nós: 1829, tempo: 0.14534401893615723
nós: 2083, tempo: 0.17878413200378418
nós: 1244, tempo: 0.09602141380310059
nós: 936, tempo: 0.07651305198669434
nós: 1083, tempo: 0.08973026275634766
nós: 2198, tempo: 0.17429327964782715
nós: 1612, tempo: 0.127716064453125
nós: 2985, tempo: 0.23644518852233887
nós: 2999, tempo: 0.2547438144683838
nós: 2985, tempo: 0.23586344718933105
nós: 2956, tempo: 0.2517423629760742
nós: 1746, tempo: 0.15766239166259766
nós: 2951, tempo: 0.22463369369506836
nós: 1925, tempo: 0.16611552238464355
nós: 2421, tempo: 0.20100021362304688
nós: 2516, tempo: 0.21146082878112793
nós: 2421, tempo: 0.20465993881225586
nós: 2479, tempo: 0.21057558059692383
nós: 2446, tempo: 0.18942642211914062
nós: 2730, tempo: 0.21967124938964844
nós: 2446, tempo: 0.19030404090881348
nós: 1461, tempo: 0.129805326461792
nós: 2981, tempo: 0.22786498069763184
nós: 3135, tempo: 0.2564351558685303
nós: 248, tempo: 0.018297672271728516
