O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as pretas
Jogadas brancas:
d2d3, 139
d1d2, 139
d2b4, 139
e1d1, 139
c1d2, 139
f2f3, 139
d2g5, 139
b2b3, 139
c2c4, 139
g2g3, 139
c4c5, 139
h2h4, 139
d1c1, 139
c1c2, 139
c2b2, 139
b1c3, 139
b2b1, 139
b1c1, 139
c1b2, 139
b2b1, 139
h4g5, 138
b1b2, 138
b2b3, 138
Jogadas pretas:
e7e6, 139
h7h6, 139
f8b4, 130
d7d5, 130
a7a5, 130
e6e5, 130
d8d6, 130
d6c5, 130
c5f2, 130
h6g5, 127
b8c6, 127
c6d4, 127
d4b3, 126
b3a1, 121
f2d4, 121
d4c3, 118
a1c2, 118
c3d2, 118
c2e3, 118
a5a4, 118
d2e1, 118
a4a3, 118
e1b1, 18
debug_info_ia:
nós: 4812, tempo: 1.2048356533050537
nós: 10722, tempo: 4.15674614906311
nós: 11282, tempo: 5.630610942840576
nós: 2102, tempo: 1.1976540088653564
nós: 12990, tempo: 8.283254861831665
nós: 15605, tempo: 15.627933979034424
nós: 12054, tempo: 19.715216636657715
nós: 9386, tempo: 14.89976167678833
nós: 9573, tempo: 24.074657440185547
nós: 9290, tempo: 31.303141355514526
nós: 7061, tempo: 22.175662994384766
nós: 6223, tempo: 11.086944103240967
nós: 2863, tempo: 14.064887762069702
nós: 1007, tempo: 4.82047176361084
nós: 492, tempo: 1.5075616836547852
nós: 448, tempo: 1.8510377407073975
nós: 224, tempo: 0.34909844398498535
nós: 3442, tempo: 10.6361665725708
nós: 346, tempo: 0.5871961116790771
nós: 547, tempo: 0.84330153465271
nós: 2572, tempo: 6.95354437828064
nós: 197, tempo: 0.24617481231689453
nós: 169, tempo: 0.20569920539855957
