O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as pretas
Jogadas brancas:
g1f3, 139
d2d4, 139
a2a3, 139
c2c4, 139
b1c3, 139
e2e3, 139
c1d2, 139
d1c2, 139
f1e2, 139
b2b3, 139
c3a2, 139
d2c1, 139
a3b4, 138
c1b2, 138
b2c1, 138
e2d3, 138
d3e4, 138
h2h3, 138
g2g4, 138
f3h4, 135
d4d5, 135
c2d3, 135
d3d1, 135
e4d3, 135
h1h2, 135
d3b5, 132
d1g4, 131
e1d1, 131
Jogadas pretas:
b8c6, 139
d7d5, 139
e7e6, 139
d5c4, 138
g8e7, 138
b7b5, 138
a8b8, 138
e7f5, 138
f8d6, 138
b5b4, 138
c4c3, 138
a7a5, 138
a5b4, 137
c8d7, 137
e8g8, 137
d8f6, 137
h7h6, 137
e6e5, 137
f5h4, 137
f6h4, 134
c6e7, 134
d7b5, 134
f7f5, 134
f5g4, 133
e5e4, 133
d6h2, 128
h4f2, 127
c3c2, 27
debug_info_ia:
nós: 5729, tempo: 0.8068029880523682
nós: 6311, tempo: 2.3127386569976807
nós: 10078, tempo: 5.2234203815460205
nós: 17764, tempo: 15.638122320175171
nós: 14491, tempo: 14.211209297180176
nós: 11063, tempo: 27.23956608772278
nós: 11365, tempo: 32.33381700515747
nós: 11335, tempo: 32.94293737411499
nós: 17415, tempo: 74.04230070114136
nós: 20739, tempo: 268.4729754924774
nós: 19881, tempo: 817.9141564369202
nós: 15377, tempo: 248.36227464675903
nós: 18702, tempo: 160.96791744232178
nós: 14208, tempo: 7.62686014175415
nós: 11676, tempo: 25.40827775001526
nós: 11442, tempo: 51.959168672561646
nós: 12960, tempo: 119.95496821403503
nós: 11572, tempo: 100.99716329574585
nós: 7087, tempo: 121.70085334777832
nós: 9820, tempo: 101.87055897712708
nós: 4774, tempo: 8.389189720153809
nós: 8797, tempo: 17.85765242576599
nós: 10395, tempo: 11.521133422851562
nós: 10745, tempo: 62.236711502075195
nós: 11500, tempo: 52.018731117248535
nós: 11241, tempo: 12.534987449645996
nós: 12635, tempo: 18.25543189048767
nós: 11032, tempo: 4.802094221115112
