O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as empate
Jogadas brancas:
g1f3, 139
g2g3, 139
b2b3, 139
h2h4, 139
b1c3, 139
h1h2, 139
c1a3, 139
c3b5, 139
h4h5, 139
f3h4, 139
a3b4, 139
b4a3, 139
f2f3, 139
c2c3, 139
e1f2, 139
f2e1, 139
b3b4, 139
d1c1, 139
e1f2, 139
f2e1, 139
e1f2, 139
Jogadas pretas:
g8f6, 139
g7g6, 139
d7d6, 139
f8g7, 139
c7c5, 139
b8c6, 139
a7a6, 139
f6g4, 139
g4h2, 134
h2f1, 131
a6b5, 128
f1d2, 127
d2c4, 127
g7c3, 126
c3d4, 126
d8a5, 126
a5a3, 123
d4c3, 123
c3d4, 123
d4c3, 123
c3d4, 123
debug_info_ia:
nós: 3185, tempo: 0.5624966621398926
nós: 4211, tempo: 0.7579739093780518
nós: 5004, tempo: 0.9295444488525391
nós: 5783, tempo: 1.2656176090240479
nós: 17851, tempo: 4.319457054138184
nós: 12680, tempo: 3.005995988845825
nós: 18781, tempo: 4.636609792709351
nós: 28012, tempo: 6.576454401016235
nós: 476913, tempo: 93.33658337593079
nós: 335943, tempo: 58.25236463546753
nós: 4420909, tempo: 838.4008347988129
nós: 2731063, tempo: 480.6828336715698
nós: 1544929, tempo: 285.7484495639801
nós: 1220345, tempo: 197.26026701927185
nós: 939457, tempo: 151.71558237075806
nós: 724114, tempo: 118.80253314971924
nós: 1061963, tempo: 161.41566157341003
nós: 1035963, tempo: 173.18650841712952
nós: 920613, tempo: 151.13912272453308
nós: 1033839, tempo: 173.0186905860901
nós: 920613, tempo: 151.23703384399414
