O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as brancas
Jogadas brancas:
g1f3, 139
d2d4, 139
d4d5, 139
e2e4, 139
b1c3, 139
f3h4, 139
f1a6, 136
a6e2, 136
h4f5, 136
d5d6, 136
f2g3, 135
c3d5, 135
c1d2, 135
c2c4, 135
d5c7, 126
c7a8, 121
d2b4, 121
f5g7, 118
d1d5, 117
b4d6, 116
d5d6, 113
e1c1, 113
d6d7, 10
Jogadas pretas:
f7f6, 139
g7g5, 139
b8a6, 139
e7e5, 139
g5g4, 139
e8e7, 139
g8h6, 139
h6f7, 139
e7e8, 139
g4g3, 139
c7d6, 138
h7h6, 138
f8g7, 138
d8c7, 138
e8d8, 138
d6d5, 138
d7d6, 138
c8d7, 138
a7a5, 138
f7d6, 135
f6f5, 135
f5e4, 134
debug_info_ia:
nós: 6361, tempo: 0.893613338470459
nós: 20160, tempo: 4.58873724937439
nós: 20962, tempo: 4.45010781288147
nós: 17251, tempo: 3.70908784866333
nós: 29549, tempo: 6.125630617141724
nós: 20676, tempo: 4.640598773956299
nós: 8842, tempo: 1.8490915298461914
nós: 18341, tempo: 4.032224178314209
nós: 8745, tempo: 2.0934054851531982
nós: 219353, tempo: 45.128406286239624
nós: 107682, tempo: 23.138169050216675
nós: 52716, tempo: 10.240634441375732
nós: 36927, tempo: 7.499958276748657
nós: 66897, tempo: 12.550462007522583
nós: 122217, tempo: 20.727636098861694
nós: 172406, tempo: 29.57512354850769
nós: 206627, tempo: 34.1387734413147
nós: 558456, tempo: 85.45763778686523
nós: 760756, tempo: 122.81181979179382
nós: 793303, tempo: 117.05719709396362
nós: 50402, tempo: 8.482333421707153
nós: 39927, tempo: 6.299158811569214
