O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as pretas
Jogadas brancas:
g1f3, 139
f3h4, 139
b1a3, 139
g2g3, 139
h4g2, 139
f2f3, 139
b2b4, 139
h2h4, 139
c2c3, 139
a2a3, 139
Jogadas pretas:
e7e6, 139
f8e7, 139
e7a3, 136
a3e7, 136
d7d5, 136
a7a5, 136
a5b4, 135
b8c6, 135
e7d6, 135
d6g3, 34
debug_info_ia:
nós: 3185, tempo: 0.5624966621398926
nós: 4769, tempo: 0.9763903617858887
nós: 10516, tempo: 2.429535150527954
nós: 6359, tempo: 1.1210041046142578
nós: 17180, tempo: 3.739042043685913
nós: 19295, tempo: 4.023276090621948
nós: 72206, tempo: 14.044497728347778
nós: 51168, tempo: 10.170855522155762
nós: 130887, tempo: 23.618884563446045
nós: 150738, tempo: 25.67638659477234
