O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as brancas
Jogadas brancas:
e2e4, 139
d2d3, 139
f1e2, 139
a2a4, 139
b1c3, 139
d3d4, 139
g1h3, 139
a4a5, 139
c3b5, 139
b5d4, 138
d4f5, 138
h3g5, 138
e4f5, 135
e2c4, 135
g5f7, 134
f7h8, 129
h8g6, 129
c2d3, 126
d1a4, 126
c4d5, 125
a4h4, 125
e1f1, 125
c1d2, 125
d2e3, 125
d5e4, 124
a1c1, 124
e3c1, 115
h4e4, 112
e4d5, 112
d5f7, 112
c1g5, 112
f7e7, 9
Jogadas pretas:
g8f6, 139
d7d6, 139
b8d7, 139
h7h5, 139
c7c6, 139
e7e6, 139
c6c5, 139
c5d4, 138
a7a6, 138
e6e5, 138
d7c5, 138
c8f5, 135
d8c8, 135
e8d8, 135
d8d7, 135
c8c7, 135
c5d3, 135
d6d5, 135
d7c8, 135
c8d8, 135
f8b4, 135
b4d6, 135
a8b8, 135
e5e4, 135
d8c8, 135
c7c1, 130
f6e4, 127
c8d7, 127
b8c8, 127
d7d8, 127
d6e7, 127
debug_info_ia:
nós: 31599, tempo: 5.46938419342041
nós: 43153, tempo: 7.650583982467651
nós: 46325, tempo: 7.278549671173096
nós: 52178, tempo: 8.973021507263184
nós: 81365, tempo: 13.385258674621582
nós: 185450, tempo: 33.34489440917969
nós: 403660, tempo: 74.25656962394714
nós: 131780, tempo: 25.26949715614319
nós: 370355, tempo: 71.92081093788147
nós: 246387, tempo: 43.3462016582489
nós: 489639, tempo: 87.38750910758972
nós: 498964, tempo: 86.6155436038971
nós: 150919, tempo: 25.26052713394165
nós: 307721, tempo: 51.18023443222046
nós: 44155, tempo: 6.643247604370117
nós: 146787, tempo: 23.419442176818848
nós: 90352, tempo: 13.213717460632324
nós: 48925, tempo: 6.6522228717803955
nós: 15485, tempo: 2.292905330657959
nós: 128132, tempo: 19.85197901725769
nós: 59912, tempo: 8.75759744644165
nós: 137691, tempo: 19.949689865112305
nós: 153239, tempo: 23.062371730804443
nós: 71694, tempo: 10.346351623535156
nós: 51816, tempo: 6.9803466796875
nós: 94559, tempo: 13.664485692977905
nós: 41073, tempo: 5.3746702671051025
nós: 63029, tempo: 8.806466817855835
nós: 70292, tempo: 10.347348928451538
nós: 10631, tempo: 1.5169463157653809
nós: 7147, tempo: 0.9743955135345459
