O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as brancas
Jogadas brancas:
d2d4, 139
e2e4, 139
b1c3, 139
c1e3, 139
f2f4, 139
f1c4, 139
f4f5, 139
c4b3, 139
g1h3, 139
a2a3, 139
d1f3, 139
e4e5, 139
e1c1, 139
f3e4, 138
e4c6, 137
c6b5, 136
b5c4, 136
c4f7, 35
Jogadas pretas:
d7d6, 139
b8d7, 139
a8b8, 139
b8a8, 139
h7h6, 139
c7c6, 139
h8h7, 139
b7b5, 139
c8a6, 139
a6c8, 139
a8b8, 139
d6e5, 138
e5e4, 138
g8f6, 138
c8b7, 138
b7g2, 137
g2h3, 134
debug_info_ia:
nós: 43095, tempo: 7.767244100570679
nós: 63909, tempo: 11.47832727432251
nós: 93215, tempo: 16.819055318832397
nós: 133241, tempo: 25.39616823196411
nós: 150185, tempo: 27.66307759284973
nós: 230906, tempo: 44.070234060287476
nós: 194014, tempo: 34.40309143066406
nós: 148008, tempo: 25.15677523612976
nós: 232981, tempo: 40.09488487243652
nós: 207366, tempo: 35.49714398384094
nós: 253367, tempo: 42.44657278060913
nós: 341325, tempo: 54.801557779312134
nós: 216758, tempo: 35.89610528945923
nós: 238187, tempo: 36.8285858631134
nós: 116100, tempo: 17.527162790298462
nós: 180081, tempo: 27.72294545173645
nós: 295146, tempo: 44.85513710975647
