O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as empate
Jogadas brancas:
e2e3, 139
d2d4, 139
g1e2, 139
h2h3, 139
b1c3, 139
a2a3, 139
c1d2, 139
d4c5, 138
c5c6, 138
c6b7, 137
d1c1, 137
f2f4, 137
e2d4, 137
g2g3, 137
e1d1, 137
a1b1, 137
b2b4, 137
b1b2, 137
h3h4, 137
b2b1, 137
b1b3, 137
b3c3, 132
d4f5, 129
d1e1, 129
c3c4, 126
c4c3, 126
c1a1, 126
e1e2, 126
c3c8, 126
e2d1, 126
d1e1, 126
e1d1, 126
d1e1, 126
e1d1, 126
Jogadas pretas:
e7e6, 139
a7a6, 139
d7d6, 139
d6d5, 139
f8d6, 139
b8d7, 139
c7c5, 139
d6e7, 139
d7e5, 139
c8b7, 138
e7d6, 138
e5d7, 138
d8h4, 138
h4g3, 137
g3f2, 137
a8c8, 137
g8e7, 137
d7b6, 137
e8g8, 137
e7f5, 137
c8c3, 134
b6c4, 134
f2f3, 134
e6f5, 131
f3h1, 126
f8e8, 126
h1h4, 125
d5d4, 125
b7c8, 120
h4g4, 120
g4h4, 120
h4g4, 120
g4g3, 120
debug_info_ia:
nós: 18703, tempo: 2.789573907852173
nós: 63293, tempo: 10.726365327835083
nós: 77737, tempo: 12.893545389175415
nós: 45943, tempo: 7.688452959060669
nós: 53208, tempo: 9.429800987243652
nós: 48990, tempo: 8.576082229614258
nós: 64123, tempo: 10.882941246032715
nós: 60629, tempo: 10.19774866104126
nós: 96844, tempo: 15.960349798202515
nós: 275319, tempo: 48.20262122154236
nós: 146753, tempo: 25.844863414764404
nós: 126013, tempo: 22.043095350265503
nós: 147895, tempo: 25.41807723045349
nós: 16806, tempo: 2.8294737339019775
nós: 22828, tempo: 3.550534963607788
nós: 138804, tempo: 21.17046070098877
nós: 235661, tempo: 35.0543270111084
nós: 244071, tempo: 36.567283391952515
nós: 233209, tempo: 34.31931924819946
nós: 203518, tempo: 28.983548879623413
nós: 178121, tempo: 26.302740812301636
nós: 158449, tempo: 22.39016819000244
nós: 116684, tempo: 16.91981315612793
nós: 9746, tempo: 1.5179715156555176
nós: 104354, tempo: 14.688776969909668
nós: 28480, tempo: 3.753967523574829
nós: 56006, tempo: 7.490981578826904
nós: 3738, tempo: 0.5176162719726562
nós: 49305, tempo: 6.617316484451294
nós: 65003, tempo: 8.603009939193726
nós: 16196, tempo: 2.0914113521575928
nós: 18901, tempo: 2.488377809524536
nós: 16196, tempo: 2.0934290885925293
nós: 20750, tempo: 2.695796012878418
