O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as pretas
Jogadas brancas:
e2e4, 139
b1c3, 139
g1f3, 139
e4d5, 138
f1c4, 138
d2d4, 138
c4b3, 138
a2a3, 138
b3a4, 137
e1g1, 137
d4d5, 137
d1d2, 137
f3e5, 137
e5g4, 137
d2e2, 137
a3b4, 134
d5d6, 134
g4e3, 134
e3f5, 134
c3b5, 134
b5c3, 134
c3b5, 134
f5g3, 134
e2d3, 134
d3g6, 134
b5c3, 134
c3d5, 134
d5c3, 134
g3f5, 134
f1d1, 134
g6g7, 133
g7g4, 133
b2c3, 130
g2g3, 130
d1f1, 130
h2g3, 129
g4h3, 129
c3c4, 129
f1d1, 129
f5e7, 129
h3e6, 120
d1f1, 120
f1d1, 120
d1e1, 120
c1d2, 120
d2b4, 117
b4e7, 112
e7f6, 111
g3g4, 111
g4g5, 111
g5g6, 111
f6e7, 111
g6g7, 111
e1b1, 111
g1h2, 111
b1e1, 111
e1e2, 110
h2g1, 110
g1f1, 110
f1g1, 110
g1f1, 110
f1g1, 110
g1h2, 110
h2g3, 110
f2f3, 110
g3g4, 110
f3f4, 110
g4h4, 118
h4g4, 118
Jogadas pretas:
g8f6, 139
b8c6, 139
d7d5, 139
f6d5, 138
d5b4, 138
c8f5, 138
a7a5, 138
a5a4, 138
a8a4, 135
a4a8, 135
f5c2, 134
c6b8, 134
f7f6, 134
c2b3, 134
a8a5, 134
a5a1, 129
d8d6, 128
h7h5, 128
d6b6, 128
b3a4, 128
a4b3, 128
b3e6, 128
e6g4, 128
g4d7, 128
e8d8, 128
d8c8, 128
b6c6, 128
h5h4, 128
e7e5, 128
f8b4, 127
h8e8, 127
b4c3, 124
c6e6, 124
d7a4, 124
h4g3, 123
a4d7, 123
d7b5, 123
b5c4, 122
c4b3, 122
e8e7, 119
b3e6, 110
e6c4, 110
b8c6, 110
c6b4, 110
a1a2, 110
c4d5, 110
a2c2, 110
e5e4, 110
c8d7, 110
d7d6, 110
e4e3, 110
d6e7, 107
e3e2, 107
e7f6, 107
f6g7, 106
d5f3, 106
c2e2, 101
g7f6, 101
f6e6, 101
b7b5, 101
e2d2, 101
d2d1, 101
f3d5, 101
b5b4, 101
b4b3, 101
b3b2, 101
b2b1q, 101
d1h1, 101
b1g6, 1
debug_info_ia:
nós: 27496, tempo: 9.680661678314209
nós: 38614, tempo: 15.517699003219604
nós: 30241, tempo: 12.177932739257812
nós: 16490, tempo: 6.378734827041626
nós: 38136, tempo: 16.515264987945557
nós: 161701, tempo: 71.59581232070923
nós: 252056, tempo: 120.3479266166687
nós: 40176, tempo: 17.90291404724121
nós: 11682, tempo: 3.9525721073150635
nós: 52746, tempo: 22.339597940444946
nós: 55657, tempo: 21.925397157669067
nós: 85956, tempo: 35.044663429260254
nós: 113607, tempo: 49.535223960876465
nós: 104675, tempo: 44.798747539520264
nós: 191776, tempo: 82.16142320632935
nós: 46465, tempo: 17.87092924118042
nós: 33751, tempo: 14.445054769515991
nós: 154176, tempo: 69.16620349884033
nós: 96412, tempo: 45.84320259094238
nós: 226630, tempo: 96.52938580513
nós: 130640, tempo: 56.38191246986389
nós: 229409, tempo: 98.29909563064575
nós: 164287, tempo: 73.064120054245
nós: 169533, tempo: 76.20446443557739
nós: 23315, tempo: 10.48074221611023
nós: 249836, tempo: 90.34393620491028
nós: 132953, tempo: 30.234957218170166
nós: 155939, tempo: 36.8863570690155
nós: 76759, tempo: 19.19147276878357
nós: 57515, tempo: 13.076698541641235
nós: 62082, tempo: 14.999532222747803
nós: 51925, tempo: 12.458982944488525
nós: 82986, tempo: 20.068060636520386
nós: 98833, tempo: 22.99687671661377
nós: 27859, tempo: 7.137541055679321
nós: 36519, tempo: 10.00779414176941
nós: 63760, tempo: 18.971758127212524
nós: 18723, tempo: 5.0244035720825195
nós: 49382, tempo: 15.489075183868408
nós: 2568, tempo: 0.4318211078643799
nós: 7393, tempo: 2.030017852783203
nós: 33127, tempo: 8.91184949874878
nós: 37901, tempo: 11.353050947189331
nós: 56127, tempo: 16.047646045684814
nós: 15477, tempo: 3.763450860977173
nós: 35351, tempo: 8.296964645385742
nós: 27763, tempo: 6.136418104171753
nós: 15531, tempo: 2.9608957767486572
nós: 36107, tempo: 6.97224497795105
nós: 27093, tempo: 5.513449668884277
nós: 33233, tempo: 6.0335845947265625
nós: 933, tempo: 0.19783473014831543
nós: 7870, tempo: 1.6641144752502441
nós: 16028, tempo: 3.574150800704956
nós: 4621, tempo: 1.0587666034698486
nós: 16520, tempo: 3.341792106628418
nós: 1968, tempo: 0.46665120124816895
nós: 3613, tempo: 0.9447064399719238
nós: 1982, tempo: 0.5020627975463867
nós: 1179, tempo: 0.3075859546661377
nós: 1102, tempo: 0.24386239051818848
nós: 618, tempo: 0.14934372901916504
nós: 1218, tempo: 0.2921750545501709
nós: 2798, tempo: 0.6484220027923584
nós: 2437, tempo: 0.5198972225189209
nós: 2429, tempo: 0.5329277515411377
nós: 1625, tempo: 0.41794490814208984
nós: 4860, tempo: 1.4035069942474365
nós: 1768, tempo: 0.514411211013794
