O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as brancas
Jogadas brancas:
g2g3, 139
d2d3, 139
c2c3, 139
b1d2, 139
d1a4, 139
g1f3, 139
f1g2, 139
d3e4, 138
a4c2, 138
f3e5, 135
f2f3, 135
e4d5, 134
d2c4, 134
c4e5, 131
c1g5, 131
f3f4, 131
g5h4, 131
b2b3, 131
h2h3, 131
g2f3, 131
c2b2, 131
f4g5, 130
h4g5, 129
g5f4, 129
b2c1, 129
e1f1, 129
c1e3, 129
e3f2, 129
f1g1, 129
g1h2, 129
g3g4, 129
f2h4, 129
h2h3, 126
f4e3, 126
h4g5, 126
a1f1, 126
h3g3, 126
f3h1, 121
f1f6, 121
g5g6, 121
g3h4, 121
e3h6, 121
g6g7, 121
g4g5, 121
g7g8, 112
g5g6, 112
f6f8, 112
h6f8, 107
h1e4, 106
g6g7, 106
e4c2, 106
f8a3, 105
h4g5, 105
g5f5, 105
c2e4, 105
e4d5, 102
f5e6, 102
a3b4, 102
e2e3, 102
e6d5, 101
b4e7, 101
e7c5, 101
c5e7, 101
e7f6, 101
f6e5, 101
e5g7, 101
d5c5, 101
c5b6, 101
a2a4, 101
b6b7, 100
g7e5, 100
a4a5, 100
a5a6, 100
a6a7, 100
e5c7, 100
b7a6, 100
a7a8q, 100
c7h2, 100
a8c6, 100
c6d6, 100
d6d7, 100
h2b8, 100
b8g3, 100
d7a4, 100
a4e4, 100
e4d3, 100
a6a7, 100
d3e2, 100
e2f3, 100
f3e2, 100
e2e4, 100
e4h7, 100
h7c7, 100
a7b7, 100
c7c5, 100
c5e5, 100
e5a1, 100
a1h1, 100
b7c6, 100
c6d7, 100
h1d5, 100
d5g2, 100
g2f3, 100
f3d1, 100
d1d3, 100
d3f1, 100
f1h1, 100
h1g1, 100
g1f2, 100
f2e1, 100
d7c7, 100
c7d6, 100
d6d5, 100
e1g1, 100
g1g6, 100
g6g2, 100
g2a2, 100
a2b2, 100
b2d4, 100
d5e5, 100
d4d7, 100
e5f5, 100
f5f6, 100
d7b5, 100
f6g5, 100
b5c5, 100
c5e3, 100
g5f4, 100
e3a3, 100
a3b2, 100
f4f3, 100
b2h8, 100
h8a1, 0
Jogadas pretas:
b8c6, 139
g8f6, 139
d7d5, 139
e7e5, 139
f8d6, 139
c8d7, 139
e5e4, 139
c6e5, 139
d7g4, 139
d6e5, 136
g4e6, 136
f6d5, 135
d5f6, 135
e8g8, 135
d8e7, 135
h7h6, 135
a8d8, 135
a7a5, 135
c7c6, 135
a5a4, 135
g7g5, 135
h6g5, 134
e6f5, 134
a4a3, 134
d8e8, 134
e8d8, 134
f6d5, 134
e7e6, 134
d5c3, 133
f5h3, 132
f8e8, 132
f7f6, 132
f6e5, 129
e5e4, 129
g8f7, 129
e8h8, 129
h8h1, 124
f7e8, 124
e6d5, 124
e8d7, 124
d8h8, 124
d7c8, 124
d5d8, 124
d8g8, 124
h8g8, 115
c3d5, 115
g8f8, 110
d5f4, 110
f4d5, 110
d5f6, 110
c8d7, 110
d7e6, 110
e6f7, 110
f6d5, 110
f7g7, 109
c6d5, 106
g7g6, 106
g6g5, 106
g5g4, 106
g4g3, 106
g3f3, 106
f3g4, 106
g4f3, 106
f3e3, 105
e3f3, 105
f3g2, 105
g2f2, 105
f2e3, 105
e3d2, 105
d2c2, 105
c2b3, 104
b3b4, 104
b4c5, 104
c5d5, 104
d5e4, 104
e4e3, 104
e3e2, 112
e2f1, 112
f1e2, 112
e2f3, 112
f3g2, 112
g2f2, 112
f2g3, 109
g3f2, 109
f2g3, 109
g3g2, 109
g2g1, 109
g1h1, 109
h1h2, 109
h2g3, 109
g3f2, 109
f2g3, 109
g3f3, 109
f3g4, 109
g4f3, 109
