O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as brancas
Jogadas brancas:
b1c3, 139
d2d4, 139
c1f4, 139
f4e5, 139
a1c1, 139
g1f3, 139
h2h3, 139
d1d2, 139
e1d1, 139
f3g5, 139
f2f4, 139
g5f3, 139
e2e3, 139
f1e2, 139
d4c5, 138
f3d4, 138
e5d6, 138
d6e7, 135
c3d5, 134
d2a5, 125
a5a3, 125
d4c6, 122
d1e1, 122
e2a6, 122
a6b7, 122
a3a4, 122
b7a8, 117
a2a3, 117
a4b4, 114
a3b4, 113
c1d1, 113
e1e2, 113
e2f3, 113
h1e1, 113
d1c1, 113
e1e2, 108
f3e2, 105
c1c6, 104
c6e6, 103
e6g6, 103
g6g7, 102
g7c7, 102
e2d3, 102
b4b5, 102
b5b6, 102
d3c4, 102
b6b7, 102
b7b8q, 102
b8b6, 2
Jogadas pretas:
d7d5, 139
g8f6, 139
c8d7, 139
e7e6, 139
c7c5, 139
d8b6, 139
b6b2, 138
b2b6, 138
d7c6, 138
b8d7, 138
b6a5, 138
h7h5, 138
h5h4, 138
f8e7, 138
a7a6, 138
a8c8, 138
d7c5, 137
e8e7, 134
f6d5, 131
c5e4, 131
e7e8, 131
b7c6, 128
a6a5, 128
c8a8, 128
e8d7, 128
d5b4, 128
h8a8, 125
e4c5, 125
a5b4, 116
c5e4, 116
d7e7, 116
e4g3, 116
a8a2, 116
a2c2, 115
c2e2, 115
g3e2, 110
e7e8, 110
f7f5, 110
e8d7, 110
d7e7, 110
e7f6, 110
f6g6, 110
g6f6, 110
f6e6, 110
e6d6, 110
d6e6, 110
e6d6, 110
d6e6, 118
debug_info_ia:
nós: 16587, tempo: 3.4327056407928467
nós: 35573, tempo: 8.410792112350464
nós: 38238, tempo: 9.776490926742554
nós: 48637, tempo: 12.84439468383789
nós: 125498, tempo: 33.68732762336731
nós: 72047, tempo: 17.355502605438232
nós: 84937, tempo: 18.73788046836853
nós: 49679, tempo: 11.215016841888428
nós: 66463, tempo: 15.732877254486084
nós: 107936, tempo: 25.840386390686035
nós: 102034, tempo: 22.3261137008667
nós: 149695, tempo: 30.3435275554657
nós: 99838, tempo: 24.622331380844116
nós: 124905, tempo: 33.11142110824585
nós: 101802, tempo: 27.53559708595276
nós: 112522, tempo: 30.580060482025146
nós: 217690, tempo: 58.70647668838501
nós: 41792, tempo: 13.079746961593628
nós: 5989, tempo: 2.135518789291382
nós: 11685, tempo: 4.068866968154907
nós: 45660, tempo: 13.588390588760376
nós: 88700, tempo: 25.969908952713013
nós: 53836, tempo: 16.746811628341675
nós: 83898, tempo: 27.027732610702515
nós: 20094, tempo: 6.581402778625488
nós: 19741, tempo: 6.252082586288452
nós: 36107, tempo: 10.726240634918213
nós: 43752, tempo: 12.713388442993164
nós: 5171, tempo: 2.07019305229187
nós: 2268, tempo: 0.59429931640625
nós: 20692, tempo: 5.203084468841553
nós: 17264, tempo: 4.269369840621948
nós: 11998, tempo: 2.6819140911102295
nós: 21428, tempo: 5.331284999847412
nós: 9381, tempo: 3.0488407611846924
nós: 2815, tempo: 0.9297797679901123
nós: 2676, tempo: 0.7011229991912842
nós: 704, tempo: 0.17012858390808105
nós: 328, tempo: 0.17001819610595703
nós: 1400, tempo: 0.6433610916137695
nós: 381, tempo: 0.13951778411865234
nós: 1047, tempo: 0.4684133529663086
nós: 580, tempo: 0.3180356025695801
nós: 375, tempo: 0.155015230178833
nós: 1616, tempo: 0.5351355075836182
nós: 262, tempo: 0.12994146347045898
nós: 321, tempo: 0.13950657844543457
nós: 483, tempo: 0.18233394622802734
nós: 856, tempo: 0.4680023193359375
