O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as brancas
Jogadas brancas:
g1f3, 139
d2d4, 139
d1d2, 139
b1c3, 139
d2d4, 138
e2e4, 138
c3e4, 135
f1b5, 135
e4c3, 135
d4d5, 134
d5c4, 134
b5c6, 131
c4c3, 122
e1g1, 122
f3e5, 122
e5d7, 119
c3g7, 118
f1d1, 118
g7f7, 117
c1h6, 116
d1e1, 116
e1e5, 115
e5e7, 112
h6f4, 112
f7c4, 112
a2a4, 112
a4b5, 107
c4e6, 7
Jogadas pretas:
d7d5, 139
g8f6, 139
c7c5, 139
c5d4, 138
h7h6, 138
f6e4, 137
b8c6, 137
d8a5, 137
c8d7, 137
e7e6, 137
a7a6, 137
a5c3, 134
b7c6, 131
a6a5, 131
f8d6, 131
e8d7, 128
d6e7, 128
d7c7, 128
h8e8, 128
e6e5, 128
a8b8, 128
e8c8, 128
c7b6, 128
b6a6, 128
b8b5, 128
c8f8, 128
c6b5, 127
debug_info_ia:
nós: 23539, tempo: 5.298156023025513
nós: 21773, tempo: 4.813397645950317
nós: 35126, tempo: 8.170542478561401
nós: 25431, tempo: 5.9470274448394775
nós: 45536, tempo: 12.41885757446289
nós: 241563, tempo: 64.50870490074158
nós: 47077, tempo: 10.823961734771729
nós: 35881, tempo: 7.977673530578613
nós: 16543, tempo: 3.611830472946167
nós: 48598, tempo: 12.914359331130981
nós: 183064, tempo: 50.026798486709595
nós: 91006, tempo: 23.08913803100586
nós: 6710, tempo: 1.534125566482544
nós: 55597, tempo: 13.465418577194214
nós: 88378, tempo: 21.98089861869812
nós: 35320, tempo: 8.092856168746948
nós: 11759, tempo: 2.1790099143981934
nós: 21763, tempo: 5.025007247924805
nós: 18863, tempo: 4.993101596832275
nós: 10466, tempo: 2.9619147777557373
nós: 15350, tempo: 4.222946882247925
nós: 7544, tempo: 2.049107074737549
nós: 5667, tempo: 1.480700969696045
nós: 10606, tempo: 2.8550150394439697
nós: 4207, tempo: 1.238006353378296
nós: 13847, tempo: 3.742481231689453
nós: 1643, tempo: 0.3973672389984131
nós: 9944, tempo: 2.45058274269104
