O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as pretas
Jogadas brancas:
d2d3, 139
g1f3, 139
e2e4, 139
c2c4, 139
b1c3, 139
f1e2, 139
c1g5, 139
g5d2, 139
c4d5, 138
e1g1, 138
e2f3, 135
h2h3, 135
d2e3, 135
d1f3, 132
a2a3, 132
c3e2, 132
b2b4, 132
g1h1, 132
f1d1, 132
d1d6, 132
a3a4, 132
d6f6, 129
e2g3, 129
g3h5, 129
h1h2, 129
a1g1, 120
h2g3, 128
g3g4, 128
g4f5, 128
f3g4, 128
g4g5, 119
g2g4, 119
h5f6, 118
f5f6, 115
f6f5, 115
f5g6, 115
g6h6, 115
h3h4, 115
Jogadas pretas:
e7e5, 139
b8c6, 139
g8f6, 139
f8b4, 139
c6d4, 139
e8g8, 139
h7h6, 139
d7d5, 139
c8g4, 139
g4f3, 136
c7c6, 136
c6d5, 135
d4f3, 132
d5d4, 132
b4a5, 132
d4e3, 129
a5b6, 129
d8d3, 128
d3a6, 128
e3f2, 127
a6c4, 127
g7f6, 122
c4b4, 121
b4e1, 121
e1g1, 121
f2g1q, 116
g1e1, 116
b6d8, 116
e1h4, 116
h4g5, 116
h6g5, 107
a8c8, 107
d8f6, 104
a7a5, 104
f7f6, 104
c8a8, 104
g8f7, 104
f8h8, 4
debug_info_ia:
nós: 33716, tempo: 10.307050228118896
nós: 38833, tempo: 17.53237533569336
nós: 32569, tempo: 13.951477527618408
nós: 48308, tempo: 21.714804649353027
nós: 153995, tempo: 78.03631687164307
nós: 131750, tempo: 62.81759285926819
nós: 41624, tempo: 17.773416757583618
nós: 119682, tempo: 50.337504386901855
nós: 114153, tempo: 48.588377714157104
nós: 34893, tempo: 13.041133642196655
nós: 183853, tempo: 87.99756407737732
nós: 188758, tempo: 84.63000154495239
nós: 17525, tempo: 7.189914703369141
nós: 54005, tempo: 23.26694965362549
nós: 78781, tempo: 32.96704816818237
nós: 17372, tempo: 7.761392116546631
nós: 20245, tempo: 8.063868999481201
nós: 35068, tempo: 14.163841962814331
nós: 51573, tempo: 20.77167010307312
nós: 44674, tempo: 18.372296571731567
nós: 94566, tempo: 41.659834146499634
nós: 46362, tempo: 19.284842014312744
nós: 43061, tempo: 20.45409083366394
nós: 5538, tempo: 1.5267844200134277
nós: 45496, tempo: 14.82618498802185
nós: 1772, tempo: 0.6706469058990479
nós: 6881, tempo: 2.490030288696289
nós: 10534, tempo: 4.120178461074829
nós: 10136, tempo: 3.2408082485198975
nós: 480, tempo: 0.13150596618652344
nós: 339, tempo: 0.12089824676513672
nós: 451, tempo: 0.12484073638916016
nós: 788, tempo: 0.24897980690002441
nós: 2961, tempo: 0.9183368682861328
nós: 2466, tempo: 0.9356720447540283
nós: 281, tempo: 0.11640000343322754
nós: 232, tempo: 0.07678723335266113
nós: 271, tempo: 0.06565022468566895
