O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as pretas
Jogadas brancas:
b1c3, 139
g1f3, 139
d2d4, 139
d1d2, 139
f3e5, 139
e1d1, 139
f2f3, 139
d2f4, 139
e2e4, 139
f4g5, 139
e5d7, 136
g5g7, 135
c1g5, 135
c3d5, 134
a1c1, 134
g7g8, 129
h2h4, 129
f1d3, 128
f3e4, 127
d1d2, 127
g5f6, 124
c1e1, 124
e1f1, 124
f1f4, 124
d2e1, 124
Jogadas pretas:
d7d5, 139
a7a6, 139
g8f6, 139
e7e6, 139
h7h5, 139
f8d6, 139
c7c5, 139
b8d7, 139
d8c7, 139
c5d4, 138
c8d7, 135
e8e7, 135
d6e5, 135
e6d5, 132
a8g8, 132
h8g8, 123
d4d3, 123
d5e4, 122
d7g4, 122
c7b6, 122
e5f6, 119
f6b2, 118
b6h6, 118
h6f4, 113
b2c3, 13
debug_info_ia:
nós: 22603, tempo: 8.490341663360596
nós: 39960, tempo: 14.030120372772217
nós: 44251, tempo: 15.143601417541504
nós: 45513, tempo: 15.56007432937622
nós: 34207, tempo: 12.014220952987671
nós: 71546, tempo: 22.385241985321045
nós: 48501, tempo: 15.982274532318115
nós: 81973, tempo: 21.09446406364441
nós: 64547, tempo: 22.39614200592041
nós: 100759, tempo: 37.83861684799194
nós: 84257, tempo: 31.2755126953125
nós: 39943, tempo: 16.196081399917603
nós: 114585, tempo: 46.122615337371826
nós: 154487, tempo: 60.44110727310181
nós: 277977, tempo: 117.6385064125061
nós: 40180, tempo: 14.803737878799438
nós: 63776, tempo: 26.058868169784546
nós: 32435, tempo: 12.306580066680908
nós: 26850, tempo: 10.086355447769165
nós: 6102, tempo: 1.592808723449707
nós: 27151, tempo: 11.245091915130615
nós: 82020, tempo: 19.180264949798584
nós: 113118, tempo: 27.785913705825806
nós: 11750, tempo: 2.216160535812378
nós: 10921, tempo: 1.9564447402954102
