O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as empate
Jogadas brancas:
e2e4, 139
e4e5, 139
d1f3, 139
d2d4, 139
c2c4, 139
f3d1, 139
a2a3, 139
c1d2, 139
f1e2, 139
a3b4, 136
d1c1, 136
b4b5, 136
d2c3, 136
c3d4, 133
b1c3, 133
g1f3, 133
c4c5, 133
c1d2, 133
d2e3, 133
f3d2, 133
e1e2, 132
h1c1, 132
e2f1, 132
c1d1, 132
c3d5, 132
e3d2, 129
d4e3, 129
f2f3, 129
d5c7, 129
f1f2, 129
f2f1, 129
f1f2, 129
f2g1, 129
e3f2, 129
f3e4, 128
c7a8, 123
d2d3, 123
d1d3, 114
d3f3, 113
b2b3, 113
a8c7, 113
a1a7, 112
c7a6, 112
c5b6, 111
a7a8, 111
a8e8, 111
a6c7, 111
e8e1, 111
c7b5, 108
e1a1, 108
a1a2, 108
g1h2, 108
a2a5, 108
a5a4, 108
f2c5, 108
a4b4, 108
c5b4, 103
g2g3, 103
b6b7, 103
h2h1, 103
g3h4, 102
h4h5, 102
h1g1, 102
g1f1, 102
f1e2, 102
e2d1, 102
h5h6, 102
b7b8q, 102
b8g3, 102
d1d2, 101
g3h3, 101
h3h2, 101
h2h5, 100
h5e8, 100
d2e2, 100
e8b5, 100
b5d7, 100
d7d5, 100
d5d4, 100
d4c5, 100
c5c1, 100
c1a1, 100
e2f2, 100
a1a3, 100
a3b2, 100
b2b8, 100
b8f8, 100
f2e1, 100
e1f1, 100
f1f2, 100
f8e8, 100
f2f3, 100
e8h5, 100
h5h3, 100
h3h7, 100
h7b1, 100
b1e1, 100
f3e2, 100
e1b1, 100
b1f5, 100
f5e4, 100
e4e6, 100
e6e4, 100
e4g6, 100
g6g5, 100
e2d3, 100
g5e3, 100
e3e1, 100
e1f2, 100
f2f3, 100
f3h1, 100
h1g2, 100
g2h2, 100
h2d2, 100
d2g2, 100
g2g4, 100
g4a4, 100
d3c4, 100
a4b5, 100
b5b3, 100
b3a3, 100
a3d3, 100
Jogadas pretas:
g8f6, 139
f6d5, 139
e7e6, 139
c7c5, 139
d5b4, 139
c5d4, 138
d8a5, 138
a5e5, 137
d4d3, 137
d3e2, 134
b8c6, 134
c6d4, 134
e5f5, 134
f8b4, 134
f5g6, 134
g6d3, 134
e8g8, 134
d3f5, 134
h7h6, 134
f5c2, 134
f7f6, 134
c2g6, 134
e6e5, 134
f8d8, 134
b4d2, 131
g6h5, 131
h5h2, 130
d8e8, 130
h2h1, 130
h1h4, 130
h4c4, 130
f6f5, 130
f5f4, 130
e5e4, 130
e8e4, 129
e4e2, 129
c4d3, 120
f4f3, 120
b7b6, 120
c8b7, 120
b7f3, 115
f3e4, 115
e2b2, 115
e4d3, 115
g8h7, 115
d3b5, 114
b2b1, 114
b1b3, 113
b3b5, 110
