O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as pretas
Jogadas brancas:
g1f3, 139
f3e5, 139
e2e3, 139
d1f3, 139
e1d1, 139
e5d3, 139
f1e2, 139
d3b4, 139
d2d4, 139
b1c3, 139
h1e1, 139
d4e5, 138
f3f4, 138
f4e5, 135
c3b1, 135
e5f4, 135
f4b4, 134
e1f1, 134
e3d4, 133
f1e1, 133
b4d2, 133
b1c3, 133
e1h1, 133
c3b5, 133
b5d6, 133
e2f3, 133
a2a3, 133
a1b1, 133
h1h4, 124
d2e2, 124
d1d2, 124
d2c3, 124
c3b3, 124
b3a2, 124
a3a4, 124
a4b5, 123
a2b3, 123
b3a3, 123
c1g5, 123
b2b3, 123
b3b4, 123
a3b3, 123
b1a1, 123
c2c3, 123
b3c2, 123
g5h4, 123
c2c1, 123
h4e1, 131
Jogadas pretas:
g7g6, 139
d7d5, 139
g8f6, 139
c7c6, 139
b8d7, 139
f8g7, 139
e7e5, 139
e8g8, 139
h7h5, 139
a8b8, 139
a7a5, 139
d7e5, 138
a5b4, 135
c8f5, 135
f6g4, 135
g7e5, 135
f8e8, 135
d5d4, 135
g4h2, 134
c6c5, 134
e5d4, 133
d4f2, 132
d8h4, 132
b8d8, 132
e8e5, 132
b7b5, 132
f5g4, 132
h2f3, 129
f3h4, 124
g4e2, 115
h4g2, 114
f2e1, 114
d8d6, 111
h5h4, 111
e5e4, 111
e4a4, 111
a4b4, 111
h4h3, 111
b4b5, 110
e1c3, 110
c5b4, 109
d6a6, 109
c3a1, 104
b4c3, 103
h3h2, 103
a6a2, 103
h2h1q, 103
h1e1, 0
debug_info_ia:
nós: 15415, tempo: 4.952991485595703
nós: 21260, tempo: 7.83273720741272
nós: 44023, tempo: 19.023181915283203
nós: 63604, tempo: 30.199604034423828
nós: 302264, tempo: 143.83462524414062
nós: 22239, tempo: 10.392905235290527
nós: 48870, tempo: 23.22578477859497
nós: 202579, tempo: 98.29899573326111
nós: 195535, tempo: 91.2527539730072
nós: 92230, tempo: 36.994054317474365
nós: 126672, tempo: 49.64322090148926
nós: 28908, tempo: 9.871500968933105
nós: 39873, tempo: 13.612191438674927
nós: 61347, tempo: 25.188022136688232
nós: 88331, tempo: 34.850456953048706
nós: 86858, tempo: 35.11091876029968
nós: 52328, tempo: 19.882439136505127
nós: 98691, tempo: 39.61280941963196
nós: 48492, tempo: 18.153005599975586
nós: 83331, tempo: 32.23224449157715
nós: 69497, tempo: 26.21295404434204
nós: 92951, tempo: 31.550676107406616
nós: 48151, tempo: 15.519393920898438
nós: 116091, tempo: 50.85851788520813
nós: 29072, tempo: 8.794455289840698
nós: 133079, tempo: 45.70841455459595
nós: 69517, tempo: 24.853400468826294
nós: 58653, tempo: 19.679169416427612
nós: 14352, tempo: 3.0071792602539062
nós: 2815, tempo: 0.5657052993774414
nós: 3014, tempo: 0.5468912124633789
nós: 9108, tempo: 1.5749363899230957
nós: 5751, tempo: 1.0158519744873047
nós: 27976, tempo: 5.863385438919067
nós: 37247, tempo: 9.154126167297363
nós: 13412, tempo: 3.287517786026001
nós: 4893, tempo: 0.8947267532348633
nós: 10778, tempo: 1.967311143875122
nós: 41726, tempo: 7.963456630706787
nós: 47641, tempo: 11.144409656524658
nós: 73955, tempo: 16.5008807182312
nós: 16714, tempo: 2.810640573501587
nós: 84476, tempo: 15.978147983551025
nós: 32106, tempo: 5.1631457805633545
nós: 4327, tempo: 0.6315431594848633
nós: 24367, tempo: 3.666102886199951
nós: 6251, tempo: 0.9769539833068848
nós: 2816, tempo: 0.5128238201141357
