corIa,vencedor,adversario,qtdLances,lancesIdeais,mediaNos,mediaTempo,medianaTempo,stdTempo
pretas,ia,humano,39,29,303391,101.34692138891954,79.67111396789551,109.249080214749
brancas,ia,400,46,32,48221,11.02150234968766,7.685230731964111,11.26917332061887
pretas,ia,400,33,26,103990,42.84017784667738,10.867545127868652,90.30930833562184
brancas,ia,400,19,15,35855,8.416498184204102,5.701564073562622,9.467895916056396
pretas,ia,400,39,28,57620,13.320452873523418,10.553780555725098,12.964498352700412
brancas,ia,400,28,22,40457,10.295320987701416,5.00905442237854,14.590287921856564
pretas,ia,400,31,23,53450,56.96212913144019,9.17182683944702,253.17763092833465
brancas,jogador,700,18,11,37846,7.752883116404216,6.844109296798706,7.843069548535762
pretas,ia,700,46,32,95883,23.504641963087995,18.680655360221863,20.80203015484473
pretas,empate,700,68,53,38353,8.546707577565137,1.1944947242736816,13.733440616034988
brancas,ia,700,52,36,111058,27.483206221690544,27.474176049232483,19.947239255460893
pretas,ia,700,39,31,37832,8.716900886633457,4.655683517456055,10.757041145684324
brancas,ia,700,38,30,72974,20.14238772894207,10.094226121902466,27.41083222640541
brancas,ia,1000,50,33,31349,7.007251200675964,3.808392643928528,7.8883610235495505
pretas,ia,1000,34,22,66828,22.139108791070825,11.023168087005615,21.592595442195847
pretas,empate,1000,52,34,83440,19.13882207411986,11.250039339065552,16.77668048909821
pretas,empate,1000,146,118,15762,4.682660548654321,1.0406943559646606,15.801409880488096
brancas,ia,1000,85,64,27614,7.845697257098029,3.230298519134521,12.741052620335736
brancas,ia,1000,39,26,66794,16.724433226463123,9.246062994003296,17.305360723471335
brancas,empate,1300,80,55,19943,4.433772140741349,1.248370885848999,8.07457385733502
pretas,ia,1300,91,54,64211,15.162726934139544,4.261765003204346,27.05383849266429
brancas,ia,1300,35,28,36541,8.099568946020943,6.2300193309783936,6.165160075266717
brancas,ia,1300,24,21,54386,17.71008539199829,13.280840992927551,11.997561267658511
pretas,empate,1300,37,29,33622,7.200487491246816,4.301122426986694,10.163730672290315
pretas,ia,1300,77,55,37737,10.663144216909036,3.4675004482269287,23.28912923647372
pretas,ia,1600,38,28,45105,19.744659718714264,13.496305584907532,24.465265346467174
pretas,empate,1600,69,50,20376,9.94870752873628,5.102918148040772,10.927305370257413
brancas,ia,1600,34,29,19788,13.418958762112783,8.751935005187988,11.98352702796303
brancas,jogador,1600,25,13,65576,23.353645896911623,15.982274532318115,23.869030697237864
pretas,empate,2000,122,100,35408,8.865909130846868,0.9915772676467896,14.196905509063985
pretas,ia,2000,69,39,58868,21.743169262789294,10.48074221611023,28.743455063182047
brancas,empate,2000,86,53,23836,10.014415383338928,3.532276391983032,17.910607793025875
brancas,jogador,2000,48,34,58408,22.095149209101997,14.565792679786682,27.81995911016642
brancas,ia,2500,49,33,43007,11.255067192778297,6.252082586288452,12.70224596266897
pretas,jogador,2500,132,108,39747,11.744301617145538,1.0372825860977173,19.89269330228291
pretas,jogador,2500,68,53,37194,12.895100625122296,7.365586757659912,19.43622100471046
brancas,jogador,2500,113,82,26697,9.706590920422984,5.130742311477661,13.65110204807996
