O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as brancas
Jogadas brancas:
b1c3, 139
g1f3, 139
d2d4, 139
f3e5, 139
e5c4, 139
c1g5, 139
e2e4, 139
e4e5, 139
c4e5, 138
d1f3, 138
h2h3, 138
f3c3, 137
g5e7, 134
c3b3, 134
f1c4, 134
e1g1, 134
b3g3, 134
a1e1, 134
g3f4, 134
c4d3, 134
d3f5, 131
f4f5, 130
f5f4, 130
f4d4, 130
b2c3, 129
c3c4, 129
d4f4, 129
f4d4, 129
d4b2, 129
b2b4, 129
b4b5, 129
f2f3, 129
h3h4, 129
b5a6, 129
f1f2, 129
f2e2, 129
g1f1, 129
a6a4, 129
e5d3, 129
e2e8, 124
e1b1, 124
b1b8, 124
a4c6, 124
c6c7, 124
f1g1, 124
b8c8, 121
c8d8, 116
c7d8, 107
d3c5, 107
d8a5, 107
a5c3, 107
c3h8, 7
Jogadas pretas:
e7e6, 139
f8e7, 139
c7c6, 139
d7d6, 139
g8f6, 139
e8g8, 139
b7b5, 139
d6e5, 138
c8b7, 138
b5b4, 138
b4c3, 135
f6d5, 135
d8e7, 132
c6c5, 132
b8c6, 132
c6d4, 131
d5b6, 131
d4f5, 131
e7c7, 131
a8d8, 131
e6f5, 128
c5c4, 128
b6d5, 128
c4c3, 128
b7a8, 128
d5f6, 128
d8e8, 128
e8d8, 128
f8e8, 128
h7h5, 128
d8c8, 128
c8d8, 128
d8b8, 128
c7c5, 128
c5c7, 128
c7c5, 128
a8b7, 128
b8d8, 128
c5f8, 128
f6e8, 123
b7c8, 123
g7g6, 123
e8d6, 123
d6f5, 123
f8e7, 123
e7e8, 123
e8d8, 118
g8h7, 118
h7g7, 118
f5e7, 118
g7h6, 118
debug_info_ia:
nós: 21259, tempo: 4.276911735534668
nós: 31586, tempo: 6.5591881275177
nós: 40639, tempo: 8.501774549484253
nós: 80432, tempo: 17.745578289031982
nós: 25034, tempo: 5.50855278968811
nós: 146147, tempo: 36.88755750656128
nós: 129973, tempo: 35.13633871078491
nós: 45451, tempo: 10.695418357849121
nós: 30462, tempo: 7.113439559936523
nós: 172138, tempo: 40.8301522731781
nós: 150464, tempo: 35.71838068962097
nós: 62832, tempo: 15.409534931182861
nós: 29648, tempo: 6.3367815017700195
nós: 85515, tempo: 21.01580834388733
nós: 198248, tempo: 51.9926278591156
nós: 89839, tempo: 20.7011878490448
nós: 93902, tempo: 21.686975717544556
nós: 216397, tempo: 50.89542627334595
nós: 138425, tempo: 31.17591643333435
nós: 185191, tempo: 43.284682750701904
nós: 144102, tempo: 34.92563056945801
nós: 220886, tempo: 58.15613627433777
nós: 275528, tempo: 69.42006802558899
nós: 131655, tempo: 33.39226794242859
nós: 94019, tempo: 22.617237329483032
nós: 103334, tempo: 23.772435665130615
nós: 141000, tempo: 33.47615075111389
nós: 265697, tempo: 65.20023083686829
nós: 151327, tempo: 36.406675815582275
nós: 353801, tempo: 87.97430777549744
nós: 186406, tempo: 46.13711380958557
nós: 140776, tempo: 33.574318647384644
nós: 170457, tempo: 40.08182430267334
nós: 53897, tempo: 11.170329093933105
nós: 17589, tempo: 2.9822747707366943
nós: 151940, tempo: 45.40078377723694
nós: 66593, tempo: 21.043675422668457
nós: 65762, tempo: 20.6555757522583
nós: 116674, tempo: 32.84464931488037
nós: 19015, tempo: 4.03529953956604
nós: 197241, tempo: 50.09328269958496
nós: 131784, tempo: 36.29039692878723
nós: 138381, tempo: 35.00497841835022
nós: 172434, tempo: 42.3958625793457
nós: 158673, tempo: 38.56871247291565
nós: 38702, tempo: 8.656806945800781
nós: 3738, tempo: 0.8193788528442383
nós: 6101, tempo: 1.1198046207427979
nós: 20598, tempo: 5.091816425323486
nós: 32894, tempo: 8.576777458190918
nós: 26066, tempo: 6.695972442626953
nós: 4377, tempo: 1.073714017868042
