O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as empate
Jogadas brancas:
g1f3, 139
b1c3, 139
d2d4, 139
f3e5, 139
c1g5, 139
e2e4, 139
f1b5, 139
g5f6, 136
c3e4, 135
e5d3, 135
e1f1, 135
f1g1, 135
d3e1, 135
a1d1, 126
d1d6, 123
e1f3, 123
f3d4, 123
d4b5, 123
d6d4, 123
d4b4, 122
b2a3, 121
b4c4, 121
h2h3, 121
c4c7, 121
b5c3, 121
c3d5, 121
c7c6, 116
d5b4, 116
b4c6, 115
h3h4, 115
f2f3, 115
g1f2, 115
h1e1, 115
e1h1, 115
h1e1, 115
c6b4, 115
b4c6, 115
c6e7, 115
e7c8, 112
e1e3, 111
e3e7, 111
e7e5, 111
f3e4, 108
f2e3, 108
e5f5, 107
f5g5, 107
e3f3, 107
g5g1, 106
e4e5, 106
g1g4, 106
f3g2, 106
g2f1, 106
f1f2, 106
g4h4, 106
h4h3, 105
e5e6, 105
f2e3, 105
e3f4, 105
e6e7, 105
f4e5, 105
e5e6, 105
e6d6, 105
d6d7, 105
d7c6, 105
c6c5, 105
c5d4, 105
d4e3, 105
e3e2, 105
e2d2, 105
d2e3, 105
e3d4, 105
d4d3, 105
d3e3, 105
e3d3, 105
d3d4, 105
d4e4, 105
e4d3, 105
d3e4, 105
e4d3, 105
d3d4, 105
Jogadas pretas:
g8f6, 139
d7d5, 139
e7e6, 139
f8d6, 139
b8d7, 139
d5e4, 138
h7h6, 138
d8f6, 135
f6f4, 135
f4e4, 132
e4d4, 131
c7c6, 131
d4d1, 122
c6b5, 119
a7a5, 119
a5a4, 119
b5b4, 119
e8e7, 119
a8a6, 119
a4a3, 119
h6h5, 119
g7g6, 119
e6e5, 119
a6b6, 119
b6c6, 119
e7e6, 119
b7c6, 114
g6g5, 114
f7f5, 114
g5h4, 113
e6f6, 113
d7c5, 113
h8e8, 113
e5e4, 113
e8g8, 113
f6g7, 113
h4h3, 113
g8e8, 113
e4e3, 113
e8c8, 110
g7f8, 110
c5e4, 110
c8c2, 109
h3g2, 108
f8g7, 108
g7h7, 108
