O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as brancas
Jogadas brancas:
g1f3, 139
e2e4, 139
f1d3, 139
e1g1, 139
b1c3, 139
h2h4, 139
f3h2, 139
d1g4, 138
g4g3, 138
h2f3, 138
e4e5, 138
f3e5, 137
f2f4, 137
g3e1, 137
e5c6, 134
e1e5, 134
e5c7, 133
c6b8, 133
c7d8, 133
d8h8, 128
c3e4, 128
e4d6, 128
h8f8, 128
f8f7, 28
Jogadas pretas:
e7e6, 139
a7a6, 139
d7d6, 139
g7g5, 139
h7h6, 139
g5g4, 139
f8g7, 139
e8f8, 139
g7f6, 139
g8e7, 139
d6e5, 138
b8c6, 138
e7f5, 138
f6h4, 137
d8d3, 134
f7f6, 134
d3g3, 134
f5e7, 134
f8f7, 134
a8b8, 131
g3g4, 131
f7g6, 131
b7b5, 131
debug_info_ia:
nós: 16757, tempo: 6.04567551612854
nós: 31318, tempo: 11.70962119102478
nós: 34631, tempo: 12.831847190856934
nós: 24006, tempo: 9.036117315292358
nós: 62029, tempo: 21.88080906867981
nós: 55838, tempo: 20.242130517959595
nós: 30206, tempo: 10.882835388183594
nós: 62445, tempo: 21.794520139694214
nós: 118675, tempo: 39.99034881591797
nós: 90026, tempo: 30.523150205612183
nós: 128824, tempo: 44.85015821456909
nós: 71227, tempo: 23.075114727020264
nós: 84218, tempo: 25.55542516708374
nós: 104662, tempo: 41.15651798248291
nós: 56329, tempo: 13.729834794998169
nós: 26889, tempo: 7.203591346740723
nós: 33110, tempo: 8.335908889770508
nós: 22791, tempo: 5.829407453536987
nós: 79835, tempo: 23.515448093414307
nós: 15021, tempo: 3.519901752471924
nós: 69202, tempo: 19.51798939704895
nós: 20516, tempo: 5.6639745235443115
nós: 49950, tempo: 12.778793334960938
nós: 16764, tempo: 5.3729283809661865
