O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as empate
Jogadas brancas:
d2d4, 139
e2e4, 139
f1b5, 139
c1e3, 139
g1e2, 139
d4d5, 139
a2a3, 139
d1c2, 136
b1c3, 136
c2b3, 136
b3a4, 136
a4b3, 136
b3a2, 136
b2b4, 136
a2b3, 135
b3d1, 135
c3e4, 134
e1g1, 134
e4g5, 134
e2g3, 134
d1g4, 131
g5e6, 131
a1f1, 128
e6g7, 127
g4c8, 122
c8g4, 122
h2h4, 122
f1e1, 122
e1d1, 122
d1c1, 122
g3h5, 122
c1c7, 122
g4g7, 119
c7d7, 114
h5g7, 105
g7e8, 105
d7h7, 104
e3h6, 104
h7d7, 104
h6g7, 104
e8d6, 104
d6b5, 103
d7d3, 102
d3d5, 102
g1h2, 102
f2f3, 102
g7d4, 101
h4h5, 101
h5h6, 101
g2g3, 101
g3f4, 100
h2g1, 100
g1h2, 100
h2h3, 100
h3g2, 100
h6h7, 100
h7h8q, 100
h8h2, 100
g2f2, 100
f2f3, 100
f3e4, 100
e4d4, 100
h2d2, 100
d4c5, 100
d2f2, 100
f2e2, 100
e2f2, 100
f2e2, 100
Jogadas pretas:
b8c6, 139
d7d5, 139
d5e4, 138
c8d7, 138
a8c8, 138
c6b4, 138
b4c2, 137
d7b5, 134
b5d3, 134
a7a5, 134
b7b5, 134
a5a4, 134
g8f6, 134
a4b3, 133
d3c4, 133
f6g4, 133
c7c6, 133
c6d5, 132
d8d6, 132
f7f6, 132
d6a6, 132
c4f1, 127
a6d6, 127
f8g7, 124
e8f7, 124
d6a3, 123
h8d8, 123
a3c3, 123
e7e6, 123
c3e5, 123
f6f5, 123
d8d7, 123
e5g7, 114
f7g6, 114
g6f6, 114
f6e5, 114
d5d4, 114
d4d3, 114
f5f4, 114
e5e4, 114
e4d5, 114
d5c6, 114
c6b5, 111
e6d5, 106
b5c5, 106
d5d4, 106
c5d4, 103
d4e3, 103
e3e2, 103
e2f3, 102
f3e2, 102
e2d3, 102
d3e4, 102
e4f4, 101
f4f5, 101
f5e5, 101
e5e4, 109
e4d4, 109
d4d5, 109
d5c4, 109
c4b4, 109
b4b3, 109
b3a4, 109
a4b3, 109
b3c3, 109
c3b3, 109
b3c3, 109
c3b3, 109
debug_info_ia:
nós: 21272, tempo: 4.262662410736084
nós: 26273, tempo: 6.028885841369629
nós: 13605, tempo: 2.652724504470825
nós: 31808, tempo: 6.612634181976318
nós: 32743, tempo: 6.251590967178345
nós: 42477, tempo: 7.825138092041016
nós: 6489, tempo: 1.5407404899597168
nós: 28259, tempo: 6.105284690856934
nós: 50467, tempo: 11.094238519668579
nós: 166202, tempo: 37.69626522064209
nós: 30488, tempo: 6.127094507217407
nós: 94446, tempo: 20.287530422210693
nós: 93234, tempo: 20.781640768051147
nós: 32351, tempo: 6.4559032917022705
nós: 177555, tempo: 40.87330484390259
nós: 212944, tempo: 54.735228061676025
nós: 105548, tempo: 27.02067804336548
nós: 86162, tempo: 23.91700053215027
nós: 162369, tempo: 36.956634283065796
nós: 246037, tempo: 60.200775384902954
nós: 140006, tempo: 31.345767974853516
nós: 37712, tempo: 7.973588466644287
nós: 117565, tempo: 28.316967487335205
nós: 15402, tempo: 2.9864580631256104
nós: 13878, tempo: 2.800198554992676
nós: 62306, tempo: 14.03070616722107
nós: 116446, tempo: 22.70172619819641
nós: 101520, tempo: 21.60561442375183
nós: 127495, tempo: 26.642013549804688
nós: 35823, tempo: 7.404978275299072
nós: 52230, tempo: 10.568820238113403
nós: 9825, tempo: 1.4255578517913818
nós: 1228, tempo: 0.17588210105895996
nós: 3909, tempo: 0.5620722770690918
nós: 9754, tempo: 1.3980903625488281
nós: 6399, tempo: 0.8685874938964844
nós: 2893, tempo: 0.3980286121368408
nós: 10686, tempo: 1.4289546012878418
nós: 4754, tempo: 0.608189582824707
nós: 4302, tempo: 0.5856049060821533
nós: 3484, tempo: 0.5163474082946777
nós: 1655, tempo: 0.2349987030029297
nós: 2605, tempo: 0.3604106903076172
nós: 1703, tempo: 0.26090025901794434
nós: 3205, tempo: 0.451617956161499
nós: 2384, tempo: 0.3595163822174072
nós: 245, tempo: 0.06542825698852539
nós: 948, tempo: 0.1568758487701416
nós: 787, tempo: 0.116943359375
nós: 233, tempo: 0.03636908531188965
nós: 821, tempo: 0.12079739570617676
nós: 742, tempo: 0.1115882396697998
nós: 1203, tempo: 0.20635414123535156
nós: 983, tempo: 0.15029215812683105
nós: 1219, tempo: 0.19846153259277344
nós: 3210, tempo: 0.4342000484466553
nós: 7808, tempo: 0.9908990859985352
nós: 4066, tempo: 0.5156762599945068
nós: 5665, tempo: 0.6860253810882568
nós: 6868, tempo: 0.8409245014190674
nós: 4941, tempo: 0.7173151969909668
nós: 4869, tempo: 0.6154937744140625
nós: 2765, tempo: 0.33118605613708496
nós: 2331, tempo: 0.28192901611328125
nós: 2469, tempo: 0.3075547218322754
nós: 2080, tempo: 0.2594156265258789
nós: 2321, tempo: 0.36620354652404785
nós: 1580, tempo: 0.22862839698791504
