O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as pretas
Jogadas brancas:
b1c3, 139
g1f3, 139
c3e4, 139
f3d4, 139
d4c6, 138
a1b1, 138
b1a1, 138
a1b1, 138
b1a1, 138
a1b1, 138
b1a1, 138
a1b1, 138
b1a1, 138
a1b1, 138
c2c3, 138
c3b4, 137
b1a1, 137
d1c2, 134
a1b1, 134
g2g4, 134
Jogadas pretas:
g8f6, 139
c7c6, 139
f6e4, 136
e4d6, 136
b8c6, 133
f7f5, 133
e7e5, 133
h7h5, 133
b7b5, 133
b5b4, 133
d8c7, 133
f5f4, 133
a7a6, 133
c6d4, 133
d4c6, 133
c6d4, 133
d4c2, 133
c7c2, 124
c2b1, 119
b1c1, 16
debug_info_ia:
nós: 9144, tempo: 1.0911099910736084
nós: 11856, tempo: 1.5029795169830322
nós: 14410, tempo: 2.0435330867767334
nós: 11751, tempo: 1.625650405883789
nós: 12381, tempo: 1.5598621368408203
nós: 9564, tempo: 1.221731185913086
nós: 9549, tempo: 1.3144841194152832
nós: 11291, tempo: 1.3982861042022705
nós: 11625, tempo: 1.5448968410491943
nós: 11940, tempo: 1.5937364101409912
nós: 11128, tempo: 1.726414680480957
nós: 11297, tempo: 1.6396031379699707
nós: 10374, tempo: 1.4884915351867676
nós: 10719, tempo: 1.3830392360687256
nós: 8483, tempo: 1.3730201721191406
nós: 14466, tempo: 1.9964017868041992
nós: 11401, tempo: 1.6126866340637207
nós: 972, tempo: 0.1147148609161377
nós: 6004, tempo: 0.7091033458709717
nós: 6975, tempo: 0.865685224533081
