O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as brancas
Jogadas brancas:
g1f3, 139
e2e4, 139
d2d3, 139
d3e4, 136
b1c3, 136
a2a3, 136
b2b4, 136
a3b4, 133
c1b2, 133
b4b5, 133
e4e5, 133
f1e2, 133
h2h3, 133
h3h4, 133
a1a4, 133
e1g1, 133
f3g5, 133
g2g3, 133
d1d3, 133
e5f6, 132
f6f7, 32
Jogadas pretas:
b8c6, 139
g8f6, 139
f6e4, 138
a8b8, 138
b8a8, 138
a8b8, 138
c6b4, 137
b8a8, 137
a8b8, 137
b8a8, 137
a8b8, 137
b8a8, 137
a8b8, 137
b8a8, 137
a8b8, 137
b8a8, 137
a8b8, 137
b8a8, 137
f7f6, 137
c7c5, 137
debug_info_ia:
nós: 233882, tempo: 27.682947874069214
nós: 408800, tempo: 48.732640504837036
nós: 593921, tempo: 70.57959294319153
nós: 685500, tempo: 80.13563871383667
nós: 656968, tempo: 77.35843873023987
nós: 753391, tempo: 88.26190066337585
nós: 652025, tempo: 76.33081603050232
nós: 686890, tempo: 78.59379625320435
nós: 433308, tempo: 49.75191402435303
nós: 357638, tempo: 40.92253255844116
nós: 319623, tempo: 36.685853481292725
nós: 282010, tempo: 32.35647511482239
nós: 287905, tempo: 33.01368832588196
nós: 286603, tempo: 32.9559760093689
nós: 548145, tempo: 63.05450987815857
nós: 467914, tempo: 53.735466718673706
nós: 469369, tempo: 54.11128044128418
nós: 461540, tempo: 53.40517020225525
nós: 502581, tempo: 58.094597578048706
nós: 280652, tempo: 32.15501356124878
