O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as brancas
Jogadas brancas:
d2d4, 139
b1c3, 139
g1f3, 139
c1d2, 139
c3b5, 139
d2f4, 139
b5c7, 139
c7a8, 134
f4c7, 134
e2e3, 134
f3d2, 134
d2e4, 131
e4d6, 131
c7d6, 128
d1d2, 128
e1c1, 128
f1d3, 128
c1d2, 125
d6e5, 124
d1e1, 124
f2f3, 124
d2d1, 124
e5d6, 124
h1f1, 124
d6c5, 124
g2g3, 124
c5a3, 124
d3f5, 124
c2c3, 124
f5c2, 124
d1c1, 124
c1b1, 124
e1d1, 124
f1e1, 124
g3g4, 124
d1c1, 124
e1e2, 124
f3f4, 124
c3b4, 123
e2e1, 123
c2f5, 123
b1a1, 123
f5d7, 123
d7c6, 122
c6d7, 122
c1c6, 122
c6c8, 122
d7b5, 113
b5a4, 112
a4d7, 112
d7h3, 111
h3g4, 110
g4d7, 110
b4b5, 110
a3d6, 110
b5b6, 110
e1c1, 110
d7f5, 110
c1c7, 110
c7h7, 10
Jogadas pretas:
e7e6, 139
d7d5, 139
f8b4, 139
b8d7, 139
b4e7, 139
c7c6, 139
e8f8, 139
g8f6, 139
d8e8, 139
f6e4, 139
h7h5, 139
h5h4, 139
e7d6, 136
f8g8, 136
d7f6, 136
f6e4, 136
e4d2, 127
e6e5, 127
c8g4, 127
e8a8, 124
g4e6, 124
f7f6, 124
a8c8, 124
c8d8, 124
h4h3, 124
b7b6, 124
e6f7, 124
a7a5, 124
d8c7, 124
c7d8, 124
d8d7, 124
f7e6, 124
g8f7, 124
h8e8, 124
b6b5, 124
d7c7, 124
f7g8, 124
b5b4, 124
e6g4, 123
g4h5, 123
a5a4, 123
c7b6, 123
e8e4, 123
h5f7, 123
f7e6, 123
b6b5, 123
g8f7, 123
e6c8, 118
c8a6, 118
g7g5, 118
g5g4, 118
f7g7, 118
g7h6, 118
a6b7, 118
b7a8, 118
a8b7, 118
b7a8, 118
e4e8, 118
e8g8, 118
debug_info_ia:
nós: 170612, tempo: 20.015713214874268
nós: 536332, tempo: 74.84508633613586
nós: 883406, tempo: 127.96319437026978
nós: 469080, tempo: 78.07573866844177
nós: 365243, tempo: 54.00053334236145
nós: 277836, tempo: 35.468544006347656
nós: 213970, tempo: 30.075280904769897
nós: 379474, tempo: 43.615180015563965
nós: 752550, tempo: 101.65269351005554
nós: 823854, tempo: 107.6806321144104
nós: 571961, tempo: 74.36009931564331
nós: 142660, tempo: 17.75645112991333
nós: 216299, tempo: 30.854270696640015
nós: 15141, tempo: 1.5395467281341553
nós: 1236787, tempo: 137.22243285179138
nós: 1500290, tempo: 185.4779715538025
nós: 556453, tempo: 72.43849658966064
nós: 242562, tempo: 28.304429292678833
nós: 444328, tempo: 53.31606602668762
nós: 449516, tempo: 49.27082347869873
nós: 359770, tempo: 43.1944797039032
nós: 830550, tempo: 98.26139855384827
nós: 239836, tempo: 27.878896951675415
nós: 392556, tempo: 46.94915819168091
nós: 205696, tempo: 27.936835527420044
nós: 514946, tempo: 73.04227995872498
nós: 115710, tempo: 14.097819805145264
nós: 270224, tempo: 33.65033483505249
nós: 245629, tempo: 32.092217445373535
nós: 332175, tempo: 42.2542200088501
nós: 278194, tempo: 35.24000000953674
nós: 335240, tempo: 40.93846154212952
nós: 302879, tempo: 38.636914014816284
nós: 316208, tempo: 39.56125569343567
nós: 260997, tempo: 33.07436180114746
nós: 318573, tempo: 41.970996618270874
nós: 264991, tempo: 36.98085403442383
nós: 486626, tempo: 66.07057929039001
nós: 75927, tempo: 8.23414659500122
nós: 228428, tempo: 32.758209228515625
nós: 214710, tempo: 30.483553647994995
nós: 241156, tempo: 33.48713445663452
nós: 129341, tempo: 17.97949504852295
nós: 167275, tempo: 21.79689645767212
nós: 229964, tempo: 30.2026789188385
nós: 94686, tempo: 12.572148084640503
nós: 46262, tempo: 4.989428758621216
nós: 38988, tempo: 3.7741763591766357
nós: 33613, tempo: 3.7650742530822754
nós: 66451, tempo: 7.266275405883789
nós: 54584, tempo: 6.122803688049316
nós: 21372, tempo: 2.5130043029785156
nós: 106082, tempo: 11.238233089447021
nós: 134165, tempo: 13.934566736221313
nós: 96363, tempo: 9.37934398651123
nós: 133005, tempo: 12.152205228805542
nós: 138705, tempo: 13.011291980743408
nós: 79082, tempo: 7.2950215339660645
nós: 118742, tempo: 11.675470352172852
nós: 275417, tempo: 23.777620315551758
