O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as brancas
Jogadas brancas:
d2d4, 139
g1f3, 139
f3g5, 138
c1g5, 129
b1c3, 129
g5f6, 126
f6e5, 125
e5f6, 122
f6h8, 117
e2e4, 117
d1h5, 117
h5h6, 117
h6g7, 17
Jogadas pretas:
g7g5, 139
e7e5, 139
d8g5, 136
g8f6, 136
e8d8, 136
f8e7, 136
e7f6, 136
d8e8, 136
f7f6, 136
c7c5, 136
e8f8, 136
f8g8, 136
debug_info_ia:
nós: 594336, tempo: 72.54796314239502
nós: 698944, tempo: 98.09961318969727
nós: 905831, tempo: 115.72147464752197
nós: 524927, tempo: 68.47483134269714
nós: 375552, tempo: 44.24966335296631
nós: 21072, tempo: 2.1821956634521484
nós: 567124, tempo: 71.28534030914307
nós: 14048, tempo: 1.8400774002075195
nós: 438939, tempo: 63.69265580177307
nós: 360325, tempo: 53.09998655319214
nós: 53172, tempo: 6.515570640563965
nós: 54678, tempo: 6.578401803970337
