O jogador desistiu!
A inteligencia estava jogando com as pretas
O ganhador foram as pretas
Jogadas brancas:
e2e4, 139
b1c3, 139
f2f3, 139
d2d3, 139
g1e2, 139
e2c3, 136
c1e3, 136
f3f4, 136
f4e5, 135
d1d2, 135
e3g5, 135
c3d5, 135
d2c3, 135
c3c5, 134
f1e2, 134
g5h4, 134
e2h5, 134
c5c7, 134
d5c7, 125
e1d2, 125
d2c2, 122
a1f1, 122
h5f7, 121
f1f7, 116
h4g3, 116
c2d2, 116
b2b4, 116
h1c1, 116
a2a4, 116
b4b5, 116
a4b5, 115
c1c2, 115
d2c2, 110
c2c3, 110
c3c4, 110
c4b4, 110
g3e5, 109
e5c7, 109
c7b6, 108
Jogadas pretas:
g8f6, 139
b8c6, 139
e7e5, 139
f8b4, 139
b4c3, 136
c6d4, 136
e8g8, 136
c7c5, 136
f6e8, 136
d7d6, 136
d8d7, 136
d4c6, 136
d6e5, 135
e8d6, 135
h7h6, 135
c6d4, 135
b7b6, 135
d7c7, 126
d4c2, 125
d6e8, 125
e8c7, 122
c7e6, 122
f8f7, 119
g8f7, 114
e6d4, 114
d4c6, 114
a7a6, 114
c8b7, 114
f7g8, 114
a6b5, 113
a8a2, 113
a2c2, 108
c6d4, 108
d4b5, 107
b5d6, 107
b7a6, 107
d6f7, 107
a6d3, 106
d3e4, 105
debug_info_ia:
nós: 245614, tempo: 98.88659691810608
nós: 283970, tempo: 115.5105230808258
nós: 350441, tempo: 174.41452431678772
nós: 455471, tempo: 235.48163771629333
nós: 311034, tempo: 93.80460238456726
nós: 600549, tempo: 196.66560745239258
nós: 774548, tempo: 245.8491759300232
nós: 616124, tempo: 194.5220320224762
nós: 245144, tempo: 74.49604177474976
nós: 444443, tempo: 145.4362244606018
nós: 314169, tempo: 96.59190773963928
nós: 480419, tempo: 159.053964138031
nós: 330807, tempo: 109.7938916683197
nós: 667299, tempo: 234.6514286994934
nós: 889465, tempo: 312.8207085132599
nós: 712130, tempo: 245.76768326759338
nós: 1607256, tempo: 515.1462879180908
nós: 304314, tempo: 87.78661179542542
nós: 138964, tempo: 40.721670389175415
nós: 190534, tempo: 55.270472288131714
nós: 84452, tempo: 27.509965419769287
nós: 357311, tempo: 114.02933239936829
nós: 4918, tempo: 1.6082854270935059
nós: 21141, tempo: 6.4327147006988525
nós: 79825, tempo: 20.921181678771973
nós: 303582, tempo: 86.75380229949951
nós: 290378, tempo: 79.67111396789551
nós: 118422, tempo: 32.39412832260132
nós: 234716, tempo: 66.587486743927
nós: 26276, tempo: 6.6658406257629395
nós: 112306, tempo: 29.74467372894287
nós: 20620, tempo: 3.5873336791992188
nós: 34666, tempo: 7.522099494934082
nós: 21976, tempo: 4.311970233917236
nós: 32802, tempo: 6.991608619689941
nós: 55437, tempo: 11.64389419555664
nós: 32416, tempo: 6.103348970413208
nós: 27254, tempo: 5.462830305099487
nós: 11083, tempo: 1.9167308807373047
