O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as brancas
Jogadas brancas:
g1f3, 139
b1c3, 139
e2e4, 139
f1d3, 139
e1g1, 139
d1e1, 139
e4e5, 139
e1e4, 139
e4e1, 139
c3b5, 139
f3e5, 138
f2f4, 138
e1f2, 138
e5c4, 137
c4b6, 134
b6a8, 129
d2d4, 129
c1e3, 129
a1c1, 129
e3d4, 126
a8c7, 126
f1e1, 126
c1c4, 126
h2h4, 126
c4d4, 123
c7e6, 122
e6d4, 117
f2e1, 108
e1a5, 108
a5c7, 108
c7e5, 108
h4g5, 107
d4f5, 106
e5f5, 103
f5h3, 3
Jogadas pretas:
e7e6, 139
g8f6, 139
f8e7, 139
c7c5, 139
e8g8, 139
d7d6, 139
f6d7, 139
f7f5, 139
d7b6, 139
d6e5, 138
e7f6, 138
c8d7, 138
c5c4, 138
d7b5, 135
b5d3, 132
d3c2, 131
f6d4, 130
b8c6, 130
c2a4, 130
c6d4, 127
f8f7, 127
f7d7, 127
a4c6, 127
g8f7, 127
d7d4, 122
d8a5, 122
a5e1, 117
c6e4, 117
g7g5, 117
f7f6, 117
f6g6, 117
g6h5, 117
e4f5, 114
h5h4, 114
debug_info_ia:
nós: 15259, tempo: 3.0379750728607178
nós: 31598, tempo: 6.2300193309783936
nós: 21049, tempo: 4.754974842071533
nós: 33352, tempo: 8.26258134841919
nós: 40197, tempo: 9.340121269226074
nós: 64345, tempo: 14.276471853256226
nós: 64876, tempo: 14.776273727416992
nós: 26194, tempo: 5.606950998306274
nós: 24588, tempo: 4.868952035903931
nós: 41501, tempo: 10.118985414505005
nós: 59911, tempo: 13.942688226699829
nós: 78233, tempo: 17.48570418357849
nós: 57402, tempo: 13.083843469619751
nós: 29844, tempo: 5.82023811340332
nós: 36899, tempo: 7.425321102142334
nós: 30984, tempo: 6.32392692565918
nós: 102680, tempo: 21.55743980407715
nós: 18683, tempo: 4.017195463180542
nós: 27364, tempo: 5.295464515686035
nós: 19321, tempo: 3.5958008766174316
nós: 37946, tempo: 8.780181407928467
nós: 97387, tempo: 23.650118112564087
nós: 60371, tempo: 14.301043033599854
nós: 91619, tempo: 20.940781831741333
nós: 33261, tempo: 6.8623199462890625
nós: 19719, tempo: 3.9024956226348877
nós: 38950, tempo: 8.131073236465454
nós: 5972, tempo: 1.5052416324615479
nós: 19665, tempo: 4.512036323547363
nós: 11613, tempo: 2.6220974922180176
nós: 7523, tempo: 1.6320860385894775
nós: 14345, tempo: 3.1759626865386963
nós: 14450, tempo: 3.18186354637146
nós: 1250, tempo: 0.3296341896057129
nós: 592, tempo: 0.13704943656921387
