O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as empate
Jogadas brancas:
e2e4, 139
b1c3, 139
d2d4, 139
e4e5, 139
g1f3, 139
c3e2, 139
e2g3, 139
g2f3, 136
f1g2, 136
f3f4, 136
g3e4, 133
g2e4, 132
c2c3, 132
d1g4, 132
e4c6, 129
g4f3, 129
f3d5, 120
h1g1, 120
b2b3, 120
g1g3, 120
e1f1, 120
g3g1, 120
c1b2, 120
a1d1, 120
b2c1, 120
g1g3, 120
d1d3, 119
g3d3, 114
b3b4, 114
f1e2, 114
c1a3, 113
b4c5, 112
a3b4, 112
e2f3, 112
c5c6, 112
f3e3, 112
d3d4, 112
h2h3, 112
b4a5, 112
d4d6, 112
a5b6, 112
d6e6, 111
e6e8, 111
e3e2, 111
e2f1, 106
e8c8, 106
f1e2, 106
c8c6, 106
c6c3, 106
c3c5, 106
c5c7, 106
e2f2, 106
c7c2, 106
c2d2, 106
f2g3, 106
h3h4, 106
g3h2, 106
d2g2, 106
g2d2, 106
d2f2, 105
h2g2, 105
g2g1, 105
g1h1, 105
h1g2, 105
g2h1, 105
h1g2, 105
g2h1, 105
h1g2, 105
g2h1, 105
h1g2, 105
Jogadas pretas:
g8f6, 139
b8c6, 139
d7d5, 139
f6e4, 139
c8g4, 139
e7e6, 139
g4f3, 136
e4g5, 136
f7f6, 136
g5e4, 136
d5e4, 133
c6d4, 132
d4c6, 132
f6f5, 132
b7c6, 129
d8d5, 129
c6d5, 120
h8g8, 120
e8c8, 120
f8e7, 120
e7h4, 120
d5d4, 120
d4d3, 120
h4e7, 120
a7a5, 120
a5a4, 120
d8d3, 115
a4a3, 115
h7h6, 115
c7c5, 115
c8c7, 115
g8a8, 115
a8a2, 114
e7h4, 114
a2f2, 113
c7c6, 112
c6c7, 112
h4g3, 112
c7c6, 112
c6c5, 112
c5c4, 112
f2f1, 112
g3f2, 112
f2b6, 109
c4c3, 108
c3d4, 108
d4e4, 108
b6e3, 108
e3f4, 107
e4d4, 107
h6h5, 107
f4e5, 106
d4d5, 106
e5d4, 106
g7g5, 106
f5f4, 106
g5h4, 105
f4f3, 105
f3f2, 105
d4f2, 100
f2g3, 100
h4h3, 100
h3h2, 100
h5h4, 100
g3f4, 100
d5c4, 100
c4d3, 100
d3c4, 100
c4d3, 100
debug_info_ia:
nós: 32365, tempo: 24.6400887966156
nós: 50694, tempo: 35.950427770614624
nós: 50554, tempo: 16.600550651550293
nós: 106063, tempo: 26.639069318771362
nós: 68895, tempo: 18.284152269363403
nós: 190024, tempo: 53.34964442253113
nós: 60203, tempo: 15.994133234024048
nós: 28903, tempo: 7.6460487842559814
nós: 116532, tempo: 32.126697063446045
nós: 46256, tempo: 12.33979845046997
nós: 27567, tempo: 9.370412588119507
nós: 32984, tempo: 11.124866724014282
nós: 38156, tempo: 29.358959197998047
nós: 33699, tempo: 27.287813186645508
nós: 5521, tempo: 4.059800863265991
nós: 23972, tempo: 18.687479257583618
nós: 4199, tempo: 2.9819998741149902
nós: 32649, tempo: 23.227067470550537
nós: 34196, tempo: 24.408964157104492
nós: 23142, tempo: 16.730704069137573
nós: 44041, tempo: 31.798518180847168
nós: 24861, tempo: 17.742095232009888
nós: 17423, tempo: 12.479884624481201
nós: 20043, tempo: 14.433665752410889
nós: 39222, tempo: 28.85378384590149
nós: 16960, tempo: 11.023272275924683
nós: 11854, tempo: 7.3831939697265625
nós: 7296, tempo: 4.937291860580444
nós: 14951, tempo: 9.235025882720947
nós: 12556, tempo: 7.78588080406189
nós: 8288, tempo: 5.394298315048218
nós: 23951, tempo: 16.744660139083862
nós: 2942, tempo: 2.2201220989227295
nós: 5739, tempo: 3.9795448780059814
nós: 2651, tempo: 1.869835615158081
nós: 4605, tempo: 3.2789535522460938
nós: 13598, tempo: 9.095510005950928
nós: 14470, tempo: 10.515281438827515
nós: 7959, tempo: 5.852738380432129
nós: 3840, tempo: 2.5699265003204346
nós: 3197, tempo: 2.1650829315185547
nós: 15753, tempo: 11.321083307266235
nós: 9392, tempo: 7.45654034614563
nós: 2339, tempo: 1.639838695526123
nós: 5973, tempo: 4.3447771072387695
nós: 4000, tempo: 2.355238199234009
nós: 6221, tempo: 3.7298343181610107
nós: 6973, tempo: 3.936527729034424
nós: 2624, tempo: 1.6110658645629883
nós: 4825, tempo: 3.3262250423431396
nós: 4941, tempo: 2.9035298824310303
nós: 6290, tempo: 4.2551350593566895
nós: 8635, tempo: 5.1029181480407715
nós: 3847, tempo: 2.274779796600342
nós: 3586, tempo: 2.2066071033477783
nós: 1607, tempo: 1.0363438129425049
nós: 1557, tempo: 0.8443942070007324
nós: 1509, tempo: 1.0024218559265137
nós: 2155, tempo: 1.412628412246704
nós: 931, tempo: 0.7801797389984131
nós: 743, tempo: 0.5096824169158936
nós: 317, tempo: 0.24869370460510254
nós: 197, tempo: 0.22394442558288574
nós: 451, tempo: 0.35758066177368164
nós: 930, tempo: 0.8105595111846924
nós: 679, tempo: 0.5219635963439941
nós: 824, tempo: 0.6600043773651123
nós: 655, tempo: 0.516143798828125
nós: 1030, tempo: 0.9049339294433594
