O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as empate
Jogadas brancas:
g1f3, 139
b1c3, 139
d2d4, 139
f3e5, 139
c1g5, 139
g5h4, 139
d1d2, 139
e1c1, 139
e2e4, 139
a2a3, 139
d2c3, 136
b2c3, 127
h4g3, 127
e5d7, 124
g3b8, 119
e4d5, 118
d5e6, 117
d1e1, 117
f2f3, 117
f1c4, 117
e1e5, 117
c1b2, 117
h1e1, 117
e5c5, 117
c5a5, 117
a5a4, 117
c2c4, 117
c4b5, 114
a4a7, 113
e1e5, 113
e5b5, 112
b2c3, 112
b5e5, 112
c3c4, 112
d4d5, 112
e5e6, 112
e6e7, 112
c4d3, 112
a7a8, 112
d3c3, 112
a8f8, 112
c3b4, 112
f8d8, 112
e7h7, 112
h7d7, 112
d7e7, 112
d8g8, 112
g8e8, 112
e7h7, 112
h7h6, 111
h6a6, 106
b4a5, 106
a5a6, 105
a6a5, 105
a5b6, 105
h2h4, 105
b6c7, 105
a3a4, 105
a4a5, 105
a5a6, 105
a6a7, 105
a7a8q, 105
a8e4, 113
e4g4, 112
g4d7, 112
d7c8, 112
c8d8, 112
c7b7, 112
d8f6, 112
b7b8, 112
b8c7, 112
c7d8, 112
f6e7, 112
d8e7, 103
e7d6, 103
d6d5, 103
d5d6, 103
d6c5, 103
c5c6, 103
c6c7, 103
c7b6, 103
b6c5, 103
h4h5, 103
c5d4, 103
d4d5, 103
h5g6, 100
Jogadas pretas:
d7d5, 139
g8f6, 139
e7e6, 139
c7c6, 139
h7h6, 139
b8d7, 139
d8a5, 139
a8b8, 139
f8b4, 139
b4c3, 136
a5c3, 127
g7g5, 127
e8e7, 127
c8d7, 124
h8b8, 121
f6e4, 121
d7e6, 120
f7f5, 120
e4c3, 119
c3d5, 119
e7f6, 119
d5c7, 119
e6c4, 116
c4d5, 116
c7b5, 116
f6f7, 116
d5f3, 115
c6b5, 114
f3g2, 113
g2e4, 113
b8d8, 113
f5f4, 113
e4h1, 113
h1g2, 113
f7f6, 113
f6f5, 113
g2d5, 112
d8d6, 112
d5f3, 112
f3d5, 112
