O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as pretas
Jogadas brancas:
g1f3, 139
e2e4, 139
d2d3, 139
a2a3, 139
c1g5, 139
c2c3, 139
b1d2, 139
g5h4, 139
f3g5, 138
h4g5, 137
f2f3, 137
f1e2, 137
b2b4, 137
d1c1, 137
g5h6, 137
h6e3, 137
e3f2, 137
e1g1, 137
e2d1, 137
c1b1, 137
f2e3, 137
b4b5, 137
b1d3, 134
g1h1, 134
f1f3, 131
f3g3, 131
a1b1, 131
b1b2, 131
e3g1, 131
g3e3, 131
b5b6, 131
Jogadas pretas:
b8c6, 139
g8f6, 139
e7e5, 139
f8c5, 139
e8g8, 139
d7d6, 139
h7h6, 139
g7g5, 139
h6g5, 136
c8g4, 136
g4e6, 136
d6d5, 136
c5e7, 136
a7a6, 136
f8e8, 136
d5d4, 136
f6h5, 136
h5f4, 136
f4d3, 135
d4c3, 134
c3d2, 131
c6d4, 131
d4f3, 130
d8d3, 121
d3c3, 121
g8h8, 121
c3d3, 121
d3f1, 121
e7c5, 121
c5e3, 116
f1g1, 13
debug_info_ia:
nós: 14429, tempo: 3.0516152381896973
nós: 43853, tempo: 9.171826839447021
nós: 26084, tempo: 5.723702907562256
nós: 95894, tempo: 24.11981964111328
nós: 43409, tempo: 9.536200284957886
nós: 82966, tempo: 18.337229013442993
nós: 49772, tempo: 11.216751098632812
nós: 121364, tempo: 28.457221508026123
nós: 24287, tempo: 5.017934322357178
nós: 98080, tempo: 21.177626371383667
nós: 75030, tempo: 16.34812617301941
nós: 32996, tempo: 6.987395286560059
nós: 40155, tempo: 8.779606342315674
nós: 86991, tempo: 20.703339099884033
nós: 29870, tempo: 5.8237035274505615
nós: 50904, tempo: 12.390024185180664
nós: 109305, tempo: 27.438632249832153
nós: 23870, tempo: 5.4540205001831055
nós: 17651, tempo: 3.6804075241088867
nós: 24903, tempo: 6.437429666519165
nós: 31350, tempo: 7.439042329788208
nós: 63048, tempo: 15.384909391403198
nós: 12736, tempo: 3.004396677017212
nós: 34196, tempo: 7.611567974090576
nós: 154212, tempo: 1420.471203327179
nós: 24076, tempo: 5.652535915374756
nós: 82623, tempo: 19.593862295150757
nós: 105285, tempo: 23.521048545837402
nós: 37450, tempo: 9.272601127624512
nós: 6352, tempo: 1.424945592880249
nós: 13809, tempo: 2.597278118133545
