O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as brancas
Jogadas brancas:
e2e4, 139
e4e5, 139
g1f3, 139
d2d4, 139
c2c4, 139
e5d6, 138
d4d5, 138
b2b3, 138
b1d2, 138
f1e2, 138
c1a3, 138
h2h3, 138
d2f3, 135
e1g1, 135
d1c2, 135
c2c1, 135
f3e5, 132
b3c4, 131
c1a3, 128
e2f3, 128
a3c5, 128
c5e5, 127
c4c5, 127
e5e4, 127
f1d1, 127
d1d5, 124
e4d5, 119
d5b3, 119
b3a4, 119
a4a5, 119
a1e1, 119
a5b4, 119
b4f4, 119
f4f5, 119
f5f7, 118
f7e7, 118
e7d8, 113
d8d4, 113
d4d6, 113
d6d2, 113
h3h4, 113
d2f4, 113
f4c1, 113
g2g3, 113
a2a3, 113
e1f1, 113
f1d1, 113
d1d8, 113
c1c5, 113
d8d7, 113
c5c6, 113
c6d7, 104
a3a4, 104
d7d6, 104
d6d7, 104
h4h5, 104
g3g4, 104
d7d6, 104
a4b5, 103
g1g2, 103
d6c6, 103
c6b6, 103
b6a7, 103
g2f3, 103
b5b6, 103
b6b7, 103
b7b8q, 103
b8f4, 103
a7f7, 3
Jogadas pretas:
g8f6, 139
f6d5, 139
b8c6, 139
d7d6, 139
d5b6, 139
c7d6, 138
c6e5, 138
c8g4, 138
e7e6, 138
d8f6, 138
e6d5, 137
g4f3, 134
d5c4, 133
a8d8, 133
f6g6, 133
f8e7, 133
d6e5, 130
e7a3, 127
d8d2, 127
d2d3, 127
d3f3, 124
e8d7, 124
f3f5, 124
b6d5, 124
d7c7, 124
f5d5, 119
h8d8, 119
d8d3, 119
a7a6, 119
c7b8, 119
g6c6, 119
c6b5, 119
b8c8, 119
c8b8, 119
d3d8, 119
b5c6, 119
c6c8, 119
c8f5, 119
b8a7, 119
f5c5, 118
c5b6, 118
a6a5, 118
b6b4, 118
a7b8, 118
b4b3, 118
b3d3, 118
d3f3, 118
b8a7, 118
b7b6, 118
f3b7, 118
b7d7, 113
a7a6, 113
h7h6, 113
a6b7, 113
b7a8, 113
a8b8, 113
b6b5, 113
b8a7, 113
a7b7, 113
a5a4, 113
b7b8, 113
b8c8, 113
c8d8, 113
d8e8, 113
a4a3, 113
e8f7, 113
f7f6, 121
f6e6, 121
debug_info_ia:
nós: 23631, tempo: 8.24503207206726
nós: 24477, tempo: 7.490560293197632
nós: 36247, tempo: 13.78586220741272
nós: 61758, tempo: 25.087769746780396
nós: 30389, tempo: 12.521892786026001
nós: 70679, tempo: 34.438968658447266
nós: 59244, tempo: 27.32907485961914
nós: 31064, tempo: 13.736308097839355
nós: 151252, tempo: 65.48871922492981
nós: 24549, tempo: 9.839082956314087
nós: 45526, tempo: 18.412221431732178
nós: 70550, tempo: 29.315428733825684
nós: 47453, tempo: 21.573569536209106
nós: 128222, tempo: 64.23631930351257
nós: 71639, tempo: 32.421473026275635
nós: 239404, tempo: 117.69433760643005
nós: 19840, tempo: 8.396751403808594
nós: 21541, tempo: 10.143640279769897
nós: 105280, tempo: 49.69115996360779
nós: 93883, tempo: 42.28300094604492
nós: 15851, tempo: 5.7945520877838135
nós: 30288, tempo: 10.039605140686035
nós: 82768, tempo: 31.853033542633057
nós: 17926, tempo: 5.758461236953735
nós: 65747, tempo: 25.530022621154785
nós: 11240, tempo: 3.5694682598114014
nós: 34506, tempo: 8.578189849853516
nós: 94153, tempo: 20.680082321166992
nós: 44822, tempo: 9.085422992706299
nós: 13539, tempo: 3.045139789581299
nós: 84523, tempo: 19.256022691726685
nós: 74375, tempo: 16.319552659988403
nós: 7960, tempo: 1.3277761936187744
nós: 12823, tempo: 2.251344680786133
nós: 58315, tempo: 12.653696298599243
nós: 63189, tempo: 13.55030608177185
nós: 8610, tempo: 1.3629868030548096
nós: 63042, tempo: 9.963813304901123
nós: 23373, tempo: 3.6057515144348145
nós: 17558, tempo: 3.6467766761779785
nós: 47118, tempo: 8.587895154953003
nós: 44003, tempo: 7.240613222122192
nós: 46979, tempo: 8.072291851043701
nós: 49050, tempo: 8.61936354637146
nós: 25739, tempo: 4.336344242095947
nós: 26245, tempo: 4.973269939422607
nós: 22462, tempo: 3.916414499282837
nós: 5233, tempo: 0.7497477531433105
nós: 7012, tempo: 1.1104421615600586
nós: 6895, tempo: 0.9268157482147217
nós: 1696, tempo: 0.2315073013305664
nós: 4948, tempo: 0.5957896709442139
nós: 2129, tempo: 0.27549099922180176
nós: 5058, tempo: 0.686699628829956
nós: 2580, tempo: 0.31338000297546387
nós: 1872, tempo: 0.22898006439208984
nós: 2856, tempo: 0.3498072624206543
nós: 3131, tempo: 0.3846297264099121
nós: 4808, tempo: 0.6127438545227051
nós: 6297, tempo: 0.7769911289215088
nós: 4569, tempo: 0.5584869384765625
nós: 3286, tempo: 0.39374637603759766
nós: 2027, tempo: 0.23439860343933105
nós: 3041, tempo: 0.35996222496032715
nós: 4027, tempo: 0.4920074939727783
nós: 6468, tempo: 0.7799336910247803
nós: 4493, tempo: 0.5543766021728516
nós: 4001, tempo: 0.5015349388122559
