O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as pretas
Jogadas brancas:
b1c3, 139
g1f3, 139
e2e4, 139
f1e2, 139
e1g1, 139
d2d4, 139
e2c4, 139
d4c5, 138
h2h3, 138
g2g4, 138
c4e2, 138
h3g4, 135
c1e3, 135
c3d5, 135
e2b5, 135
f3g5, 135
g5e6, 126
a1d1, 123
e4d5, 122
f2f4, 122
f1e1, 122
e1e3, 119
e3e7, 118
g1g2, 118
e7b7, 117
b5c6, 117
b7d7, 117
d1e1, 117
g2g1, 117
d7d8, 117
e1d1, 117
g1h1, 117
h1g2, 117
g2g1, 117
d1d2, 117
c6e8, 117
e8c6, 117
d2d4, 114
d8d7, 114
d7d6, 113
d6d8, 113
g1g2, 113
g2g1, 113
d8f8, 113
a2a3, 113
c6a4, 113
g1f1, 113
a4c6, 113
f1g1, 113
g1f2, 113
c6a4, 113
a4b3, 113
b3c4, 113
b2b3, 113
f8d8, 113
b3a4, 112
d8f8, 112
c4b3, 112
a4a5, 112
b3c4, 112
c4d3, 112
f2g2, 112
a5a6, 112
f8f1, 112
f1f8, 112
f8b8, 112
b8b7, 112
b7a7, 107
g2f1, 107
f1e1, 107
a7d7, 107
a6a7, 107
d7d5, 107
e1d2, 107
d5d3, 107
d3e3, 107
e3e4, 107
a3a4, 107
e4e1, 107
d2e3, 107
e3d2, 107
e1b1, 107
d2d3, 107
d3c3, 107
c3d3, 107
d3e3, 102
b1g1, 101
e3d4, 101
d4c5, 101
c5b5, 109
b5c6, 109
c6b7, 109
b7b6, 109
b6c5, 109
c5b6, 109
b6c7, 109
c7d6, 109
d6c5, 109
c5d6, 109
d6c7, 109
c7b7, 109
b7c7, 109
c7d7, 109
d7e7, 109
e7d8, 109
d8e7, 109
e7d7, 109
d7c7, 109
c7d8, 109
d8c7, 109
c7b7, 109
b7a7, 109
a7a6, 109
Jogadas pretas:
g7g6, 139
g8f6, 139
f8g7, 139
e8g8, 139
d7d6, 139
c7c5, 139
c8g4, 139
d8c7, 139
g4h5, 139
c7c5, 138
f6g4, 137
h5g4, 136
c5c8, 136
b8c6, 136
c8e6, 136
g4d1, 127
f7e6, 124
e6d5, 121
c6e5, 121
e5g4, 121
g4e3, 118
f8f4, 117
g7d4, 117
a8f8, 117
h7h5, 117
a7a5, 117
d4e5, 117
g6g5, 117
f8f7, 117
g8g7, 117
e5d4, 117
f4h4, 117
d4e5, 117
h4f4, 117
g5g4, 117
f7f5, 117
e5d4, 117
f4d4, 112
g7g6, 112
g6g5, 112
g5h4, 112
d4d2, 112
f5e5, 112
e5e2, 112
e2e5, 112
e5e3, 112
d2d5, 111
d5e5, 111
e5c5, 111
e3e5, 111
e5e7, 111
c5e5, 111
e7b7, 111
b7e7, 111
a5a4, 111
e5e3, 111
e3c3, 111
c3c6, 111
c6g6, 111
g6d6, 111
d6d7, 111
e7e3, 111
e3e7, 111
d7d4, 111
e7g7, 111
g7a7, 111
d4d3, 108
d3d2, 108
h4h3, 108
d2c2, 107
c2c5, 107
c5a5, 107
a5a7, 106
h5h4, 106
h3h2, 106
g4g3, 106
h4h3, 106
a7f7, 106
g3g2, 106
f7e7, 106
e7e6, 106
e6e4, 106
e4a4, 105
a4e4, 105
e4e3, 105
g2g1q, 105
h2g1, 100
h3h2, 100
h2h1q, 100
h1h8, 100
g1f2, 100
h8g7, 100
g7d7, 100
d7a4, 100
f2e3, 100
a4h4, 100
e3d3, 100
h4h8, 100
d3c4, 100
h8h3, 100
c4b5, 100
h3h6, 100
h6g6, 100
b5c5, 100
c5c6, 100
c6b6, 100
b6b5, 100
g6e6, 100
e6e1, 100
e1d2, 100
d2d8, 100
b5c6, 100
d8a8, 0
debug_info_ia:
nós: 16724, tempo: 5.151954650878906
nós: 31717, tempo: 12.424527883529663
nós: 28181, tempo: 11.167490482330322
nós: 73895, tempo: 34.265122175216675
nós: 25593, tempo: 10.2828950881958
nós: 68388, tempo: 29.70926594734192
nós: 56715, tempo: 26.068576335906982
nós: 31614, tempo: 14.142591953277588
nós: 88681, tempo: 38.968536615371704
nós: 78531, tempo: 35.071044921875
nós: 95310, tempo: 41.95301675796509
nós: 35124, tempo: 14.77534031867981
nós: 61738, tempo: 22.9332377910614
nós: 110231, tempo: 52.29032635688782
nós: 157143, tempo: 78.71437549591064
nós: 126698, tempo: 56.74780464172363
nós: 56769, tempo: 22.375886917114258
nós: 37873, tempo: 13.885615825653076
nós: 72895, tempo: 31.394683599472046
nós: 70141, tempo: 31.198035717010498
nós: 32352, tempo: 13.16132664680481
nós: 10685, tempo: 4.251805782318115
nós: 23669, tempo: 11.471070289611816
nós: 7176, tempo: 2.6176769733428955
nós: 59000, tempo: 29.404101848602295
nós: 81279, tempo: 35.969046115875244
nós: 86350, tempo: 34.40999388694763
nós: 72025, tempo: 24.531946420669556
nós: 68460, tempo: 25.49586510658264
nós: 33491, tempo: 12.767144203186035
nós: 43767, tempo: 16.943111896514893
nós: 7768, tempo: 2.0706076622009277
nós: 4355, tempo: 1.081273078918457
nós: 55564, tempo: 18.42178440093994
nós: 57143, tempo: 19.484120845794678
nós: 52003, tempo: 19.597041368484497
nós: 28942, tempo: 10.852879524230957
nós: 5048, tempo: 2.1562039852142334
nós: 19077, tempo: 7.369472980499268
nós: 10947, tempo: 4.401215553283691
nós: 30291, tempo: 8.94123888015747
nós: 38537, tempo: 12.419822216033936
nós: 2680, tempo: 0.5700271129608154
nós: 34375, tempo: 7.575954914093018
nós: 20146, tempo: 5.633179187774658
nós: 23510, tempo: 7.097045660018921
nós: 35846, tempo: 10.255330562591553
nós: 36329, tempo: 9.052322149276733
nós: 48726, tempo: 14.851075887680054
nós: 22878, tempo: 6.338661432266235
nós: 7110, tempo: 1.3043904304504395
nós: 24969, tempo: 5.981896638870239
nós: 34185, tempo: 6.936233282089233
nós: 27030, tempo: 6.442605972290039
nós: 22296, tempo: 5.554956912994385
nós: 4660, tempo: 1.316023349761963
nós: 23295, tempo: 5.347947120666504
nós: 13576, tempo: 2.997281074523926
nós: 23510, tempo: 5.130742311477661
nós: 26349, tempo: 5.761469125747681
nós: 38722, tempo: 8.429205179214478
nós: 24566, tempo: 5.690344572067261
nós: 30631, tempo: 7.142279148101807
nós: 21237, tempo: 5.469991445541382
nós: 24644, tempo: 5.837275981903076
nós: 25574, tempo: 5.765774965286255
nós: 24011, tempo: 5.763777732849121
nós: 997, tempo: 0.1593327522277832
nós: 1007, tempo: 0.21153855323791504
nós: 8588, tempo: 1.6279115676879883
nós: 5276, tempo: 1.0265464782714844
nós: 7083, tempo: 1.3904688358306885
nós: 7108, tempo: 1.4576940536499023
nós: 7652, tempo: 1.8022091388702393
nós: 4191, tempo: 0.736785888671875
nós: 9927, tempo: 1.9818487167358398
nós: 13302, tempo: 2.63289213180542
nós: 7573, tempo: 1.4696853160858154
nós: 16121, tempo: 3.2985172271728516
nós: 17968, tempo: 3.3292236328125
nós: 1812, tempo: 0.27660131454467773
nós: 4841, tempo: 0.9648244380950928
nós: 8264, tempo: 1.8130595684051514
nós: 16217, tempo: 2.9227237701416016
nós: 8790, tempo: 1.978740930557251
nós: 423, tempo: 0.13054680824279785
nós: 129, tempo: 0.06839990615844727
nós: 786, tempo: 0.13651704788208008
nós: 1316, tempo: 0.2021026611328125
nós: 3414, tempo: 0.4978916645050049
nós: 5609, tempo: 0.832794189453125
nós: 4361, tempo: 0.7126660346984863
nós: 4813, tempo: 0.6700570583343506
nós: 4172, tempo: 0.5968680381774902
nós: 4231, tempo: 0.5900144577026367
nós: 3401, tempo: 0.5276055335998535
nós: 7567, tempo: 1.0523838996887207
nós: 3569, tempo: 0.5529720783233643
nós: 7313, tempo: 1.0322721004486084
nós: 6189, tempo: 0.8421504497528076
nós: 4373, tempo: 0.6069581508636475
nós: 4271, tempo: 0.5910589694976807
nós: 3941, tempo: 0.576481819152832
nós: 4228, tempo: 0.5889122486114502
nós: 1979, tempo: 0.29553651809692383
nós: 2263, tempo: 0.34649181365966797
nós: 4209, tempo: 0.5878267288208008
nós: 4192, tempo: 0.5926244258880615
nós: 2612, tempo: 0.3746204376220703
nós: 2340, tempo: 0.33014822006225586
nós: 3424, tempo: 0.4987142086029053
nós: 1227, tempo: 0.17783236503601074
nós: 973, tempo: 0.16685056686401367
