O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as pretas
Jogadas brancas:
e2e4, 139
d2d3, 139
g1f3, 139
f1e2, 139
e1g1, 139
f3g5, 139
a2a4, 139
g5e6, 136
a4a5, 136
g2g3, 136
a5a6, 136
f2f4, 136
g1h1, 136
b1d2, 136
f4e5, 135
e2h5, 135
c2c3, 135
d3d4, 135
d1e2, 135
h5g4, 135
g4h3, 135
e4e5, 135
b2b3, 135
e2f3, 135
f3f8, 130
b3c4, 129
d2f3, 129
c1d2, 129
d2e3, 129
e3d2, 129
h3g2, 129
f3g1, 129
f1f2, 126
g1e2, 123
a1f1, 123
g2f1, 118
e2g1, 118
d2e3, 118
h2h4, 118
Jogadas pretas:
g8f6, 139
e7e5, 139
b8c6, 139
d7d6, 139
c8e6, 139
c6d4, 139
h7h6, 139
d4e6, 136
f8e7, 136
e8g8, 136
b7b6, 136
e6d4, 136
d6d5, 136
a8c8, 136
f6d7, 136
d7e5, 135
d4b5, 135
e5d3, 135
c7c5, 135
c5c4, 135
c8c6, 135
f7f6, 135
b5c3, 134
f6e5, 133
e7f8, 124
d5c4, 123
d8d5, 123
c3e2, 123
e5d4, 122
c6f6, 122
d5f7, 122
d3f2, 122
f6f2, 117
d4d3, 117
f2f1, 112
f7f1, 109
f8c5, 109
c5e3, 106
f1g1, 3
debug_info_ia:
nós: 22922, tempo: 4.953365087509155
nós: 48518, tempo: 11.453176259994507
nós: 31041, tempo: 7.189501523971558
nós: 121703, tempo: 29.70863676071167
nós: 51431, tempo: 13.434216260910034
nós: 47548, tempo: 9.994712829589844
nós: 102323, tempo: 23.518443822860718
nós: 32010, tempo: 8.013713359832764
nós: 84517, tempo: 22.766202211380005
nós: 43586, tempo: 11.26400899887085
nós: 42254, tempo: 10.07150936126709
nós: 52075, tempo: 12.208062887191772
nós: 73986, tempo: 16.03473448753357
nós: 52080, tempo: 11.133205652236938
nós: 47043, tempo: 9.702626466751099
nós: 51962, tempo: 11.59536337852478
nós: 70335, tempo: 15.348930358886719
nós: 80427, tempo: 16.84005355834961
nós: 66852, tempo: 13.309835195541382
nós: 100395, tempo: 19.179363012313843
nós: 172002, tempo: 38.17239594459534
nós: 292813, tempo: 69.37585616111755
nós: 44541, tempo: 9.376806259155273
nós: 38722, tempo: 8.037913799285889
nós: 9587, tempo: 2.2667996883392334
nós: 46101, tempo: 10.850256204605103
nós: 86114, tempo: 21.809266090393066
nós: 43710, tempo: 10.553780555725098
nós: 21009, tempo: 5.268211364746094
nós: 35998, tempo: 9.33379602432251
nós: 146589, tempo: 37.55864644050598
nós: 19530, tempo: 4.325786352157593
nós: 13504, tempo: 2.951096534729004
nós: 32283, tempo: 7.641231536865234
nós: 9682, tempo: 1.6863725185394287
nós: 1146, tempo: 0.2080698013305664
nós: 6984, tempo: 1.5755572319030762
nós: 645, tempo: 0.12638163566589355
nós: 3216, tempo: 0.6597764492034912
