O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as brancas
Jogadas brancas:
b1c3, 139
g1f3, 139
d2d4, 139
c1d2, 139
a1c1, 139
d2g5, 139
e2e4, 139
c3e4, 138
e4d6, 135
f1d3, 135
f3d4, 132
d3b5, 132
d1d4, 123
d4g7, 122
g7h8, 117
c1d1, 117
g5h6, 117
h8g7, 117
g7f8, 17
Jogadas pretas:
d7d5, 139
e7e6, 139
f8b4, 139
b8c6, 139
b4d6, 139
d8d7, 139
d5e4, 138
f7f5, 138
d7d6, 135
c6d4, 134
d6d4, 131
c7c6, 131
c8d7, 131
c6b5, 128
e8f8, 128
d7c6, 128
f8e7, 128
e7e8, 128
debug_info_ia:
nós: 10193, tempo: 2.2497904300689697
nós: 39915, tempo: 9.53042984008789
nós: 62099, tempo: 13.867262125015259
nós: 27211, tempo: 5.701564073562622
nós: 63002, tempo: 13.554720878601074
nós: 98339, tempo: 22.41710090637207
nós: 46398, tempo: 10.460693836212158
nós: 33095, tempo: 8.254944801330566
nós: 13314, tempo: 3.3702797889709473
nós: 153716, tempo: 37.98774814605713
nós: 13320, tempo: 2.925645112991333
nós: 63782, tempo: 15.343383312225342
nós: 2923, tempo: 0.7585558891296387
nós: 3273, tempo: 0.7738094329833984
nós: 2545, tempo: 0.6309592723846436
nós: 10453, tempo: 2.661670446395874
nós: 31656, tempo: 8.190930128097534
nós: 2655, tempo: 0.5548346042633057
nós: 3374, tempo: 0.6791424751281738
