O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as pretas
Jogadas brancas:
g1f3, 139
e2e4, 139
f1d3, 139
e1g1, 139
d1e1, 139
f3g5, 138
b1c3, 138
g5f3, 138
c3a4, 138
a4c5, 135
g2f3, 132
d3e2, 132
e2f3, 129
c5e6, 128
e6g7, 128
d2d4, 128
c1g5, 128
g1h2, 128
Jogadas pretas:
e7e6, 139
a7a6, 139
g8f6, 139
b8c6, 139
g7g5, 139
f8c5, 139
f6g4, 139
d8f6, 139
c6e5, 139
e5f3, 136
g4h2, 135
h2f3, 134
f6f3, 131
h8g8, 131
e8e7, 131
g8g7, 128
g7g5, 125
f3h5, 25
debug_info_ia:
nós: 16218, tempo: 3.3527610301971436
nós: 46721, tempo: 9.43687105178833
nós: 44212, tempo: 10.130838871002197
nós: 26896, tempo: 6.212612628936768
nós: 34233, tempo: 7.4756059646606445
nós: 44930, tempo: 9.485068798065186
nós: 141534, tempo: 30.012114763259888
nós: 68491, tempo: 14.252584457397461
nós: 87628, tempo: 18.363332748413086
nós: 15327, tempo: 2.797588348388672
nós: 7362, tempo: 1.313697338104248
nós: 42053, tempo: 7.527852296829224
nós: 4955, tempo: 0.8996846675872803
nós: 80622, tempo: 15.13621735572815
nós: 3123, tempo: 0.496837854385376
nós: 8930, tempo: 1.4173669815063477
nós: 2660, tempo: 0.46277713775634766
nós: 5338, tempo: 0.7780838012695312
