O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as pretas
Jogadas brancas:
d2d4, 139
a2a3, 139
g1f3, 139
d4d5, 139
d5c6, 136
e2f3, 135
c6b7, 134
b1c3, 134
c3a4, 134
c2c4, 134
f1d3, 134
b2b3, 134
e1g1, 134
f1e1, 134
c1g5, 134
a4b2, 134
g5d2, 134
d1c2, 134
d2b4, 134
c2d1, 134
a3b4, 131
d1e1, 126
b4b5, 126
b5c6, 123
e1d2, 123
c4c5, 123
g2g3, 123
g1f1, 123
d3h7, 123
f1g2, 123
a1a7, 123
a7c7, 122
g2g1, 122
g1h1, 122
Jogadas pretas:
b8c6, 139
e7e5, 139
e5e4, 139
e4f3, 136
d7d5, 136
a7a6, 136
c8b7, 135
d5d4, 135
b7c6, 135
f8e7, 135
d8d7, 135
g8f6, 135
a8d8, 135
e8g8, 135
d8e8, 135
h7h6, 135
a6a5, 135
a5a4, 135
a4b3, 134
e7b4, 131
e8e1, 126
f6h5, 126
h5f4, 126
d7c6, 125
c6f6, 125
f6g5, 125
f4h3, 125
g5d2, 116
g8h7, 113
d2b2, 110
h3f2, 109
f2d3, 109
b2f2, 109
f2f1, 9
debug_info_ia:
nós: 23253, tempo: 6.623498439788818
nós: 30784, tempo: 9.26430344581604
nós: 25445, tempo: 8.128713846206665
nós: 15551, tempo: 4.489588499069214
nós: 24980, tempo: 7.93636679649353
nós: 98293, tempo: 34.88977026939392
nós: 17264, tempo: 5.733612298965454
nós: 152814, tempo: 48.771275758743286
nós: 86606, tempo: 25.707292795181274
nós: 114706, tempo: 35.91682171821594
nós: 183309, tempo: 53.90234375
nós: 251241, tempo: 75.5139684677124
nós: 200053, tempo: 67.37539052963257
nós: 167547, tempo: 57.35067081451416
nós: 78667, tempo: 25.12597680091858
nós: 65519, tempo: 23.144821405410767
nós: 180810, tempo: 66.46153259277344
nós: 90057, tempo: 31.095303297042847
nós: 17489, tempo: 5.855623245239258
nós: 15203, tempo: 4.963104486465454
nós: 16731, tempo: 6.847903728485107
nós: 103865, tempo: 37.082597494125366
nós: 52237, tempo: 16.84245800971985
nós: 25812, tempo: 9.3672935962677
nós: 83974, tempo: 28.98031234741211
nós: 39947, tempo: 12.644322156906128
nós: 29215, tempo: 10.899465799331665
nós: 28588, tempo: 11.146870374679565
nós: 2083, tempo: 0.6994106769561768
nós: 5771, tempo: 2.2472245693206787
nós: 4054, tempo: 1.4558641910552979
nós: 15680, tempo: 6.651004076004028
nós: 18585, tempo: 7.196305513381958
nós: 6040, tempo: 2.418687105178833
