O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as brancas
Jogadas brancas:
d2d4, 139
e2e4, 139
e4e5, 139
e5f6, 136
b1c3, 136
f1b5, 136
b5c6, 133
g1e2, 133
g2g3, 133
h2h4, 133
c1d2, 133
d2e3, 133
a2a3, 133
d1d3, 133
f2f4, 133
h1f1, 133
b2b4, 133
c3a4, 133
a3b4, 132
c2c3, 132
a1a2, 132
e1d2, 132
f1a1, 132
a4b2, 132
e3g1, 132
h4h5, 132
g1f2, 132
d3e3, 132
d2c2, 132
e2c1, 132
e3e2, 132
f2e1, 132
a2a7, 132
a7b7, 129
e2a6, 129
a6a8, 29
Jogadas pretas:
e7e6, 139
g8f6, 139
d7d5, 139
g7f6, 138
b8c6, 138
a7a6, 138
b7c6, 135
f8d6, 135
c8b7, 135
d8e7, 135
e8c8, 135
c8b8, 135
d8e8, 135
e8d8, 135
d8e8, 135
e8d8, 135
a6a5, 135
a5b4, 134
d8e8, 134
e8d8, 134
d8e8, 134
e8d8, 134
d8e8, 134
e8d8, 134
d8e8, 134
e8d8, 134
d8e8, 134
b8c8, 134
e8d8, 134
d8e8, 134
f6f5, 134
e7f6, 134
d6f4, 133
c8b7, 128
b7b8, 128
debug_info_ia:
nós: 1593, tempo: 0.18054747581481934
nós: 4207, tempo: 0.5774564743041992
nós: 2275, tempo: 0.2533228397369385
nós: 8157, tempo: 1.5129578113555908
nós: 4996, tempo: 1.192812204360962
nós: 6967, tempo: 1.5787804126739502
nós: 371, tempo: 0.06981229782104492
nós: 3529, tempo: 0.5764870643615723
nós: 4040, tempo: 0.7280540466308594
nós: 5187, tempo: 0.8906195163726807
nós: 4865, tempo: 0.8789503574371338
nós: 3957, tempo: 0.6632568836212158
nós: 9134, tempo: 1.824913740158081
nós: 17401, tempo: 3.53471040725708
nós: 45102, tempo: 10.624491453170776
nós: 51651, tempo: 11.100998163223267
nós: 76217, tempo: 14.81740403175354
nós: 27793, tempo: 5.712827205657959
nós: 65622, tempo: 14.337685823440552
nós: 54468, tempo: 11.590028762817383
nós: 59522, tempo: 12.384723663330078
nós: 47714, tempo: 10.468982458114624
nós: 23476, tempo: 6.178516864776611
nós: 16321, tempo: 3.6921613216400146
nós: 15498, tempo: 3.531561851501465
nós: 16463, tempo: 4.382290363311768
nós: 12389, tempo: 3.0508477687835693
nós: 12431, tempo: 3.7280666828155518
nós: 7268, tempo: 1.8221309185028076
nós: 5794, tempo: 1.1718964576721191
nós: 6746, tempo: 1.5628228187561035
nós: 4240, tempo: 0.7081360816955566
nós: 10902, tempo: 1.9308712482452393
nós: 8926, tempo: 1.7732884883880615
nós: 316, tempo: 0.04587745666503906
