O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as pretas
Jogadas brancas:
e2e4, 139
d2d3, 139
e1e2, 139
a2a3, 139
e4f5, 138
f5e6, 137
e6d7, 136
e2e1, 136
g1h3, 136
f1e2, 136
g2h3, 133
d1d2, 133
b2b4, 133
e1d1, 133
d2e3, 130
c1e3, 127
h1e1, 127
b4b5, 127
b5c6, 124
d3d4, 124
e2d3, 124
d1e2, 124
e2f1, 124
f1g1, 124
d3f1, 124
Jogadas pretas:
e7e6, 139
f8b4, 139
f7f5, 139
b4c5, 139
b8c6, 139
g8f6, 139
d8d7, 138
e8g8, 138
d7e7, 138
c8h3, 135
a8d8, 135
f6g4, 135
c5f2, 134
g4e3, 134
f2e3, 125
e7e3, 122
e3f4, 122
f4h6, 122
b7b6, 122
d8d4, 121
h6c6, 120
f8e8, 120
d4f4, 120
e8e1, 115
f4f1, 12
debug_info_ia:
nós: 1428, tempo: 0.11442112922668457
nós: 3234, tempo: 0.31119704246520996
nós: 1126, tempo: 0.16419577598571777
nós: 4026, tempo: 0.509068489074707
nós: 5897, tempo: 0.817918062210083
nós: 7743, tempo: 1.0610194206237793
nós: 10458, tempo: 1.6408171653747559
nós: 13101, tempo: 2.126038074493408
nós: 13507, tempo: 2.0703368186950684
nós: 3512, tempo: 0.5654807090759277
nós: 2008, tempo: 0.15918660163879395
nós: 7943, tempo: 1.1463024616241455
nós: 14854, tempo: 1.8662059307098389
nós: 619, tempo: 0.07139277458190918
nós: 455, tempo: 0.05480790138244629
nós: 6373, tempo: 0.6967892646789551
nós: 3684, tempo: 0.37036943435668945
nós: 4802, tempo: 0.48857593536376953
nós: 1445, tempo: 0.11127424240112305
nós: 3025, tempo: 0.2813570499420166
nós: 379, tempo: 0.03982114791870117
nós: 2769, tempo: 0.2604672908782959
nós: 1208, tempo: 0.13924765586853027
nós: 248, tempo: 0.02513599395751953
nós: 5, tempo: 0.0008084774017333984
