O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as brancas
Jogadas brancas:
d2d4, 139
b1c3, 139
g1f3, 139
d1d3, 139
a2a3, 139
b2b4, 139
c1g5, 139
e1c1, 139
g5f6, 136
c3e4, 136
f3e5, 136
g2g4, 136
g4g5, 136
d3g3, 136
f1g2, 136
e2e4, 136
d4e5, 133
h2h4, 133
h4h5, 133
h5g6, 124
h1h7, 123
g6h7, 118
h7h8q, 118
h8g7, 117
g7f6, 117
b4c5, 116
g2e4, 113
f6h8, 113
g3f4, 113
f4f6, 13
Jogadas pretas:
c7c6, 139
e7e6, 139
g8f6, 139
f8b4, 139
b4a5, 139
a5b6, 139
b6c7, 139
b7b5, 139
d8f6, 136
f6g6, 136
g6h5, 136
h5h6, 136
h6h4, 136
h4e4, 133
e4f5, 133
c7e5, 130
f5g6, 130
c8b7, 130
a7a6, 130
e8f8, 130
h8h7, 125
f8e8, 125
e8e7, 133
c6c5, 133
e7e8, 133
b7e4, 132
a8a7, 132
e8e7, 132
a7a8, 132
debug_info_ia:
nós: 159337, tempo: 19.010015964508057
nós: 258601, tempo: 32.76178503036499
nós: 754730, tempo: 106.87886428833008
nós: 641847, tempo: 91.0298798084259
nós: 777220, tempo: 124.66854333877563
nós: 1111517, tempo: 169.3827726840973
nós: 1371963, tempo: 188.3300585746765
nós: 475231, tempo: 56.57457113265991
nós: 651760, tempo: 80.19083499908447
nós: 1439961, tempo: 221.2516188621521
nós: 1010217, tempo: 147.636652469635
nós: 1731564, tempo: 253.06132411956787
nós: 204011, tempo: 31.73296880722046
nós: 1117086, tempo: 157.06088948249817
nós: 428312, tempo: 55.17704963684082
nós: 1943041, tempo: 284.69851207733154
nós: 109084, tempo: 12.596930503845215
nós: 932951, tempo: 130.00432634353638
nós: 53873, tempo: 6.984982013702393
nós: 19111, tempo: 2.233643054962158
nós: 83252, tempo: 8.86672568321228
nós: 51049, tempo: 4.85971474647522
nós: 85482, tempo: 7.783475160598755
nós: 49630, tempo: 4.500882148742676
nós: 44775, tempo: 4.263888359069824
nós: 240277, tempo: 21.962161540985107
nós: 285050, tempo: 24.36228585243225
nós: 221719, tempo: 18.913212537765503
nós: 143512, tempo: 12.228498220443726
nós: 115915, tempo: 9.487409114837646
