O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as brancas
Jogadas brancas:
g1f3, 139
e2e3, 139
f1e2, 139
c2c4, 139
b1c3, 139
a2a3, 139
d2d4, 139
b2b4, 139
b4a5, 138
a5b6, 137
c1b2, 137
b2c3, 134
d1b3, 134
b3c3, 131
c3b2, 131
a1b1, 131
b2b6, 130
b6d8, 121
b1b7, 118
b7b1, 118
g2g3, 118
e2d1, 118
f3d2, 118
h1f1, 118
h2h4, 118
d1c2, 118
c4c5, 118
e1d1, 118
f1g1, 118
d1c1, 118
g1g2, 118
b1b3, 118
b3a3, 113
d2b3, 113
c2d3, 113
c1b2, 113
a3a7, 113
d3a6, 113
b2b1, 113
b1c1, 113
g3g4, 113
h4h5, 113
c1d2, 113
c5c6, 113
d2c2, 113
a7d7, 113
b3c5, 113
c2d2, 113
c6c7, 113
d7d8, 113
d8e8, 108
c7c8q, 108
c8b7, 108
e8f8, 108
b7g7, 107
g7a7, 107
a7b6, 107
f8g8, 107
g8c8, 107
b6d8, 107
d2e2, 107
e2d2, 107
d2e3, 107
e3f3, 104
d8f8, 4
Jogadas pretas:
b8c6, 139
g8f6, 139
e7e6, 139
f8d6, 139
e8g8, 139
b7b6, 139
c8b7, 139
a7a5, 139
f8e8, 139
d6b4, 139
b4c3, 136
f6e4, 136
e4c3, 133
c7b6, 132
d7d6, 132
c6b8, 132
a8a6, 132
e8d8, 123
a6a3, 122
a3a2, 122
b8d7, 122
a2a5, 122
d6d5, 122
d7f6, 122
h7h6, 122
a5a8, 122
a8a3, 122
d8c8, 122
f6g4, 122
g4f2, 121
f2g4, 121
g4e3, 120
e3g2, 115
g2e3, 115
e3g4, 115
c8e8, 115
g4f2, 115
f2d1, 115
d1c3, 115
c3e4, 115
e4f2, 115
f2g4, 114
g4f6, 114
f6e4, 114
e4g3, 114
f7f6, 114
g3f5, 114
f5d4, 113
f6f5, 113
d4c6, 113
g8f7, 113
f7f6, 121
c6a5, 121
f6e5, 121
e5d6, 121
a5c6, 121
d6e7, 121
e7f7, 121
c6d4, 121
d4b3, 121
b3d4, 121
d4f3, 121
f5f4, 121
d5d4, 121
debug_info_ia:
nós: 212794, tempo: 25.930741786956787
nós: 272845, tempo: 37.50056982040405
nós: 314582, tempo: 43.705885887145996
nós: 619402, tempo: 87.82091879844666
nós: 729332, tempo: 102.96022081375122
nós: 549647, tempo: 79.9495038986206
nós: 653098, tempo: 95.94069218635559
nós: 1050460, tempo: 158.7424635887146
nós: 929064, tempo: 129.94431138038635
nós: 318947, tempo: 39.7785804271698
nós: 131113, tempo: 15.016895771026611
nós: 172714, tempo: 23.689300298690796
nós: 394396, tempo: 48.42351150512695
nós: 370789, tempo: 46.7797212600708
nós: 2449186, tempo: 416.73210620880127
nós: 1376951, tempo: 246.14330387115479
nós: 215546, tempo: 28.356083631515503
nós: 16281, tempo: 1.8319673538208008
nós: 98285, tempo: 11.87488579750061
nós: 465813, tempo: 56.151928186416626
nós: 180539, tempo: 21.319830894470215
nós: 357234, tempo: 40.927783250808716
nós: 535667, tempo: 63.011805057525635
nós: 215217, tempo: 23.188955068588257
nós: 296173, tempo: 33.59141707420349
nós: 376802, tempo: 44.93148446083069
nós: 304723, tempo: 35.64705991744995
nós: 430006, tempo: 52.92972755432129
nós: 412207, tempo: 50.36728286743164
nós: 232828, tempo: 25.893506288528442
nós: 84860, tempo: 9.797253608703613
nós: 27464, tempo: 3.0660431385040283
nós: 54261, tempo: 7.475485563278198
nós: 195353, tempo: 24.907066583633423
nós: 270877, tempo: 36.098108530044556
nós: 213705, tempo: 25.805370092391968
nós: 192098, tempo: 25.268184185028076
nós: 189852, tempo: 24.154783248901367
nós: 137515, tempo: 16.64782977104187
nós: 87919, tempo: 10.48010516166687
nós: 133865, tempo: 16.544068813323975
nós: 51076, tempo: 6.104567289352417
nós: 125094, tempo: 16.19539761543274
nós: 81178, tempo: 10.279412269592285
nós: 209553, tempo: 28.302977323532104
nós: 204283, tempo: 25.79785680770874
nós: 173237, tempo: 23.43503999710083
nós: 62009, tempo: 7.624701023101807
nós: 114419, tempo: 14.451790571212769
nós: 47919, tempo: 5.770820617675781
nós: 13997, tempo: 1.90958571434021
nós: 26672, tempo: 3.7686197757720947
nós: 26814, tempo: 3.9035627841949463
nós: 15776, tempo: 2.141582727432251
nós: 18418, tempo: 2.8732235431671143
nós: 28665, tempo: 4.368816137313843
nós: 18578, tempo: 2.7687435150146484
nós: 45978, tempo: 6.969540119171143
nós: 27332, tempo: 4.423218011856079
nós: 14042, tempo: 2.127859592437744
nós: 18170, tempo: 2.767906665802002
nós: 18466, tempo: 2.750196933746338
nós: 19625, tempo: 2.8790295124053955
nós: 2910, tempo: 0.41879796981811523
