O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as brancas
Jogadas brancas:
d2d4, 139
c2c4, 139
e2e3, 139
d4d5, 139
d1a4, 139
b1c3, 139
e1e2, 139
a4c4, 138
c4d4, 138
g1f3, 138
g2f3, 135
d4a4, 135
e3e4, 135
c3d5, 134
e2f3, 125
c1f4, 125
a1c1, 125
h2h4, 125
h1g1, 125
b2b4, 125
g1g5, 125
f3e3, 125
e3e2, 125
e2e1, 125
f1h3, 125
f2f3, 125
d5c7, 25
Jogadas pretas:
d7d5, 139
d5c4, 138
b8c6, 138
c6e5, 138
d8d7, 138
e5d3, 138
c7c6, 138
d3e5, 138
d7g4, 138
e5f3, 135
g4f5, 135
c8d7, 135
c6d5, 134
f5f3, 133
d7a4, 124
e8c8, 124
a4c6, 124
h7h6, 124
h6h5, 124
c8d7, 124
g8f6, 124
f6g4, 124
c6b5, 124
b5a4, 124
d7e8, 124
g4f6, 124
debug_info_ia:
nós: 1683, tempo: 0.27129387855529785
nós: 14645, tempo: 2.4674339294433594
nós: 15759, tempo: 2.9092249870300293
nós: 6596, tempo: 1.2366950511932373
nós: 15498, tempo: 3.1536011695861816
nós: 100936, tempo: 24.276123762130737
nós: 259578, tempo: 60.17532777786255
nós: 24831, tempo: 4.702433347702026
nós: 10721, tempo: 2.2789103984832764
nós: 16729, tempo: 2.965075731277466
nós: 3356, tempo: 0.5036818981170654
nós: 4507, tempo: 0.6772186756134033
nós: 4319, tempo: 0.6931478977203369
nós: 4146, tempo: 0.7130937576293945
nós: 354, tempo: 0.04587745666503906
nós: 3787, tempo: 0.5345940589904785
nós: 721, tempo: 0.1107335090637207
nós: 4224, tempo: 0.6452748775482178
nós: 6147, tempo: 1.0242910385131836
nós: 5199, tempo: 0.8128271102905273
nós: 50859, tempo: 10.077071905136108
nós: 117789, tempo: 28.260493755340576
nós: 270379, tempo: 70.87199687957764
nós: 157592, tempo: 34.282156467437744
nós: 25243, tempo: 5.192147493362427
nós: 20459, tempo: 5.98256254196167
